DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DG_GDP_RN(1.0),N_A,AFY,1986,1985,DEF1,0,1986-03-31,RO,7.7
RBI:DG_GDP_RN(1.0),N_A,AFY,1986,1985,DEF4,0,1986-03-31,RO,4.7
RBI:DG_GDP_RN(1.0),N_A,AFY,1986,1985,DEF6,0,1986-03-31,RO,1.8
RBI:DG_GDP_RN(1.0),N_A,AFY,1987,1986,DEF1,0,1987-03-31,RO,9.5
RBI:DG_GDP_RN(1.0),N_A,AFY,1987,1986,DEF4,0,1987-03-31,RO,6.2
RBI:DG_GDP_RN(1.0),N_A,AFY,1987,1986,DEF6,0,1987-03-31,RO,2.3
RBI:DG_GDP_RN(1.0),N_A,AFY,1988,1987,DEF1,0,1988-03-31,RO,8.8
RBI:DG_GDP_RN(1.0),N_A,AFY,1988,1987,DEF4,0,1988-03-31,RO,5.3
RBI:DG_GDP_RN(1.0),N_A,AFY,1988,1987,DEF6,0,1988-03-31,RO,2.8
RBI:DG_GDP_RN(1.0),N_A,AFY,1989,1988,DEF1,0,1989-03-31,RO,8.2
RBI:DG_GDP_RN(1.0),N_A,AFY,1989,1988,DEF4,0,1989-03-31,RO,4.4
RBI:DG_GDP_RN(1.0),N_A,AFY,1989,1988,DEF6,0,1989-03-31,RO,2.8
RBI:DG_GDP_RN(1.0),N_A,AFY,1990,1989,DEF1,0,1990-03-31,RO,8.6
RBI:DG_GDP_RN(1.0),N_A,AFY,1990,1989,DEF4,0,1990-03-31,RO,4.5
RBI:DG_GDP_RN(1.0),N_A,AFY,1990,1989,DEF6,0,1990-03-31,RO,3.1
RBI:DG_GDP_RN(1.0),N_A,AFY,1991,1990,DEF1,0,1991-03-31,RO,9.1
RBI:DG_GDP_RN(1.0),N_A,AFY,1991,1990,DEF4,0,1991-03-31,RO,4.9
RBI:DG_GDP_RN(1.0),N_A,AFY,1991,1990,DEF6,0,1991-03-31,RO,4.1
