DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_TAXES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR3101,0,2026-03-31,INR,25200000000000
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR3201,0,2026-03-31,INR,3461371650000
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR31,0,2026-03-31,INR,42598530000000
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR32,0,2026-03-31,INR,25483160283000
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR3102,0,2026-03-31,INR,17398530000000
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR3202,0,2026-03-31,INR,22021788633000
RBI:TAX_REV_RN(1.0),N_A,AFY,2026,2025,GR3,0,2026-03-31,INR,68081690283000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR3102,0,2025-03-31,INR,16068450100000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR32,0,2025-03-31,INR,22362531547000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR3201,0,2025-03-31,INR,2932345600000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR3,0,2025-03-31,INR,60800981647000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR3101,0,2025-03-31,INR,22370000000000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR31,0,2025-03-31,INR,38438450100000
RBI:TAX_REV_RN(1.0),N_A,AFY,2025,2024,GR3202,0,2025-03-31,INR,19430185947000
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR3201,0,2024-03-31,INR,2776268232944
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR3,0,2024-03-31,INR,54078482438926
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR3202,0,2024-03-31,INR,16734771605982
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR3101,0,2024-03-31,INR,19562333200000
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR3102,0,2024-03-31,INR,15005109400000
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR32,0,2024-03-31,INR,19511039838926
RBI:TAX_REV_RN(1.0),N_A,AFY,2024,2023,GR31,0,2024-03-31,INR,34567442600000
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR3,0,2023-03-31,INR,48090436436907
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR31,0,2023-03-31,INR,30461916400000
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR3201,0,2023-03-31,INR,2797387490998
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR3101,0,2023-03-31,INR,16598114600000
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR3202,0,2023-03-31,INR,14831132545909
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR3102,0,2023-03-31,INR,13863801800000
RBI:TAX_REV_RN(1.0),N_A,AFY,2023,2022,GR32,0,2023-03-31,INR,17628520036907
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR31,0,2022-03-31,INR,27031850800000
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR3,0,2022-03-31,INR,41604137856823
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR3202,0,2022-03-31,INR,13348860736570
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR3201,0,2022-03-31,INR,1223426320253
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR3101,0,2022-03-31,INR,14082933600000
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR3102,0,2022-03-31,INR,12948917200000
RBI:TAX_REV_RN(1.0),N_A,AFY,2022,2021,GR32,0,2022-03-31,INR,14572287056823
RBI:TAX_REV_RN(1.0),N_A,AFY,2021,2020,GR3,0,2021-03-31,INR,31933900000000
RBI:TAX_REV_RN(1.0),N_A,AFY,2021,2020,GR3202,0,2021-03-31,INR,10021770000000
