DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,MRKT_BOR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2025,2024,0,2025-03-31,INR,17926203298000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2025,2024,0,2025-03-31,INR,24740075950000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2024,2023,0,2024-03-31,INR,30075452810000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2024,2023,0,2024-03-31,INR,18322146168000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2023,2022,0,2023-03-31,INR,16645770000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2023,2022,0,2023-03-31,INR,26246760000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2022,2021,0,2022-03-31,INR,22368040000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2022,2021,0,2022-03-31,INR,13051420000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2021,2020,0,2021-03-31,INR,20354600000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2021,2020,0,2021-03-31,INR,26273800000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2020,2019,0,2020-03-31,INR,9701995080000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2020,2019,0,2020-03-31,INR,15621905410000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,8205910570000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,12582194900000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,8058497200000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,11667845200000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,7393410799999.99
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,11065050500000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,10335930000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,7048350000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2015,2014,0,2015-03-31,INR,6729070000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2015,2014,0,2015-03-31,INR,9820430000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2014,2013,0,2014-03-31,INR,8971190000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2014,2013,0,2014-03-31,INR,6395610000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2013,2012,0,2013-03-31,INR,8657500000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2013,2012,0,2013-03-31,INR,6541240000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2012,2011,0,2012-03-31,INR,7590140000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2012,2011,0,2012-03-31,INR,6209620000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2011,2010,0,2011-03-31,INR,4147970000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2011,2010,0,2011-03-31,INR,5835210000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2010,2009,0,2010-03-31,INR,6236190000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2010,2009,0,2010-03-31,INR,5092410000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2009,2008,0,2009-03-31,INR,3460830000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2009,2008,0,2009-03-31,INR,4366880000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2008,2007,0,2008-03-31,INR,2559840000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2008,2007,0,2008-03-31,INR,1657280000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2007,2006,0,2007-03-31,INR,2001980000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2007,2006,0,2007-03-31,INR,1255490000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2006,2005,0,2006-03-31,INR,1817470000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2006,2005,0,2006-03-31,INR,1136920000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2005,2004,0,2005-03-31,INR,800280000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2005,2004,0,2005-03-31,INR,1456020000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2004,2003,0,2004-03-31,INR,1981570000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2004,2003,0,2004-03-31,INR,1351920000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2003,2002,0,2003-03-31,INR,1819790000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2003,2002,0,2003-03-31,INR,1331820000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2002,2001,0,2002-03-31,INR,1095630000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2002,2001,0,2002-03-31,INR,1525080000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2001,2000,0,2001-03-31,INR,1284830000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2001,2000,0,2001-03-31,INR,866670000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2000,1999,0,2000-03-31,INR,854820000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2000,1999,0,2000-03-31,INR,1133360000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1999,1998,0,1999-03-31,INR,1060670000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1999,1998,0,1999-03-31,INR,736030000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1998,1997,0,1998-03-31,INR,673860000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1998,1997,0,1998-03-31,INR,476870000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1997,1996,0,1997-03-31,INR,426880000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1997,1996,0,1997-03-31,INR,328920000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1996,1995,0,1996-03-31,INR,327210000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1996,1995,0,1996-03-31,INR,467830000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1995,1994,0,1995-03-31,INR,251970000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1995,1994,0,1995-03-31,INR,432310000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1994,1993,0,1994-03-31,INR,545330000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1994,1993,0,1994-03-31,INR,321640000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,1993,1992,0,1993-03-31,INR,119320000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1993,1992,0,1993-03-31,INR,176900000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,1992,1991,0,1992-03-31,INR,122830000000
