DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_GEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE1,0,1986-03-31,INR,538080000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE11,0,1986-03-31,INR,329090000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE12,0,1986-03-31,INR,208990000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE2,0,1986-03-31,INR,448670000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE21,0,1986-03-31,INR,317320000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE22,0,1986-03-31,INR,96180000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE23,0,1986-03-31,INR,35170000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE3,0,1986-03-31,INR,786270000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE31,0,1986-03-31,INR,505090000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE32,0,1986-03-31,INR,273010000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1986,1985,GE33,0,1986-03-31,INR,8170000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE1,0,1987-03-31,INR,647780000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE11,0,1987-03-31,INR,354980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE12,0,1987-03-31,INR,260600000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE2,0,1987-03-31,INR,517860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE21,0,1987-03-31,INR,368270000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE22,0,1987-03-31,INR,112190000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE23,0,1987-03-31,INR,37400000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE3,0,1987-03-31,INR,1004700000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE31,0,1987-03-31,INR,617210000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE32,0,1987-03-31,INR,336090000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1987,1986,GE33,0,1987-03-31,INR,19200000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE1,0,1988-03-31,INR,704610000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE11,0,1988-03-31,INR,365730000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE12,0,1988-03-31,INR,302610000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE2,0,1988-03-31,INR,598710000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE21,0,1988-03-31,INR,424510000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE22,0,1988-03-31,INR,133220000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE23,0,1988-03-31,INR,40980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE3,0,1988-03-31,INR,1102720000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE31,0,1988-03-31,INR,662950000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE32,0,1988-03-31,INR,390270000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1988,1987,GE33,0,1988-03-31,INR,13230000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE1,0,1989-03-31,INR,770550000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE11,0,1989-03-31,INR,415360000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE12,0,1989-03-31,INR,355190000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE2,0,1989-03-31,INR,670780000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE21,0,1989-03-31,INR,469840000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE22,0,1989-03-31,INR,158860000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE23,0,1989-03-31,INR,42080000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE3,0,1989-03-31,INR,1264880000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE31,0,1989-03-31,INR,744280000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE32,0,1989-03-31,INR,462920000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,1989,1988,GE33,0,1989-03-31,INR,12940000000
