DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_GRECPT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2025,2024,GR1101,0,2025-03-31,INR,61422761724000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2025,2024,GR12,0,2025-03-31,INR,24408411954000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2025,2024,GR1,0,2025-03-31,INR,96504881408000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2025,2024,OTHERS,0,2025-03-31,INR,10673707730000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2025,2024,GR11,0,2025-03-31,INR,72096469454000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2024,2023,GR12,0,2024-03-31,INR,26756495498000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2024,2023,GR1101,0,2024-03-31,INR,54569133658000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2024,2023,GR11,0,2024-03-31,INR,63793492017000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2024,2023,GR1,0,2024-03-31,INR,90549987515000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2024,2023,OTHERS,0,2024-03-31,INR,9224358359000
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2023,2022,OTHERS,0,2023-03-31,INR,6388696656492
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2023,2022,GR1101,0,2023-03-31,INR,48090436436907
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2023,2022,GR11,0,2023-03-31,INR,54479133093399
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2023,2022,GR1,0,2023-03-31,INR,78553698867700
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2023,2022,GR12,0,2023-03-31,INR,24074565774301
RBI:CCSG_RECPT_RN(1.0),N_A,AFY,2022,2021,OTHERS,0,2022-03-31,INR,6634069387784
