DATAFLOW,AUDST,FREQ,LIB_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1986,1985,0,1986-03-31,RO,52.38
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1986,1985,0,1986-03-31,RO,41.22
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1986,1985,0,1986-03-31,RO,11.16
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1986,1985,0,1986-03-31,RO,21.19
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1986,1985,0,1986-03-31,RO,49.35
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1986,1985,0,1986-03-31,RO,60.51
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1987,1986,0,1987-03-31,RO,56.44
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1987,1986,0,1987-03-31,RO,45.15
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1987,1986,0,1987-03-31,RO,11.29
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1987,1986,0,1987-03-31,RO,21.57
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1987,1986,0,1987-03-31,RO,53.55
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1987,1986,0,1987-03-31,RO,64.85
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1988,1987,0,1988-03-31,RO,59.52
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1988,1987,0,1988-03-31,RO,46.8
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1988,1987,0,1988-03-31,RO,12.72
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1988,1987,0,1988-03-31,RO,22.05
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1988,1987,0,1988-03-31,RO,55.43
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1988,1987,0,1988-03-31,RO,68.15
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1989,1988,0,1989-03-31,RO,59.08
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1989,1988,0,1989-03-31,RO,46.7
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1989,1988,0,1989-03-31,RO,12.38
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1989,1988,0,1989-03-31,RO,21.46
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1989,1988,0,1989-03-31,RO,55.32
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1989,1988,0,1989-03-31,RO,67.7
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1990,1989,0,1990-03-31,RO,60.94
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1990,1989,0,1990-03-31,RO,47.79
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1990,1989,0,1990-03-31,RO,13.15
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1990,1989,0,1990-03-31,RO,21.89
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1990,1989,0,1990-03-31,RO,56.91
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1990,1989,0,1990-03-31,RO,70.06
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1991,1990,0,1991-03-31,RO,59.59
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1991,1990,0,1991-03-31,RO,48.28
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1991,1990,0,1991-03-31,RO,11.31
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1991,1990,0,1991-03-31,RO,21.86
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1991,1990,0,1991-03-31,RO,57.54
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1991,1990,0,1991-03-31,RO,68.85
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1992,1991,0,1992-03-31,RO,63.42
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1992,1991,0,1992-03-31,RO,47.15
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1992,1991,0,1992-03-31,RO,16.28
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1992,1991,0,1992-03-31,RO,21.82
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1992,1991,0,1992-03-31,RO,56.61
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1992,1991,0,1992-03-31,RO,72.89
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1993,1992,0,1993-03-31,RO,62.05
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1993,1992,0,1993-03-31,RO,46.43
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1993,1992,0,1993-03-31,RO,15.62
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1993,1992,0,1993-03-31,RO,21.74
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1993,1992,0,1993-03-31,RO,56.39
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1993,1992,0,1993-03-31,RO,72.01
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1994,1993,0,1994-03-31,RO,62.65
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1994,1993,0,1994-03-31,RO,48.31
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1994,1993,0,1994-03-31,RO,14.34
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1994,1993,0,1994-03-31,RO,21.08
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1994,1993,0,1994-03-31,RO,58.05
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1994,1993,0,1994-03-31,RO,72.39
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1995,1994,0,1995-03-31,RO,60.27
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1995,1994,0,1995-03-31,RO,46.64
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1995,1994,0,1995-03-31,RO,13.63
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1995,1994,0,1995-03-31,RO,20.7
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1995,1994,0,1995-03-31,RO,56.41
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1995,1994,0,1995-03-31,RO,70.04
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1996,1995,0,1996-03-31,RO,57.34
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1996,1995,0,1996-03-31,RO,45.24
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1996,1995,0,1996-03-31,RO,12.1
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1996,1995,0,1996-03-31,RO,20.34
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1996,1995,0,1996-03-31,RO,55.18
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1996,1995,0,1996-03-31,RO,67.28
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1997,1996,0,1997-03-31,RO,54.32
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1997,1996,0,1997-03-31,RO,43.79
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1997,1996,0,1997-03-31,RO,10.54
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1997,1996,0,1997-03-31,RO,20.14
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1997,1996,0,1997-03-31,RO,53.83
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1997,1996,0,1997-03-31,RO,64.37
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1998,1997,0,1998-03-31,RO,56.24
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1998,1997,0,1998-03-31,RO,45.98
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1998,1997,0,1998-03-31,RO,10.27
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1998,1997,0,1998-03-31,RO,21.04
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1998,1997,0,1998-03-31,RO,56.02
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1998,1997,0,1998-03-31,RO,66.29
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1999,1998,0,1999-03-31,RO,56.14
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1999,1998,0,1999-03-31,RO,46.28
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1999,1998,0,1999-03-31,RO,9.87
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1999,1998,0,1999-03-31,RO,22.16
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1999,1998,0,1999-03-31,RO,57.24
