DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,MRKT_BOR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2025,2024,0,2025-03-31,INR,35852406596000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2025,2024,0,2025-03-31,INR,49480151900000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2024,2023,0,2024-03-31,INR,36644292336000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2024,2023,0,2024-03-31,INR,60150905620000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2023,2022,0,2023-03-31,INR,33291540000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2023,2022,0,2023-03-31,INR,52493520000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2022,2021,0,2022-03-31,INR,44736080000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2022,2021,0,2022-03-31,INR,26102840000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2021,2020,0,2021-03-31,INR,52547600000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2021,2020,0,2021-03-31,INR,40709200000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2020,2019,0,2020-03-31,INR,31243810820000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2020,2019,0,2020-03-31,INR,19403990160000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,16411821140000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,25164389800000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,16116994400000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,23335690400000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,22130101000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,14786821599999.98
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,20671860000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,14096700000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2015,2014,0,2015-03-31,INR,19640860000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2015,2014,0,2015-03-31,INR,13458140000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2014,2013,0,2014-03-31,INR,17942380000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2014,2013,0,2014-03-31,INR,12791220000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2013,2012,0,2013-03-31,INR,13082480000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2013,2012,0,2013-03-31,INR,17315000000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2012,2011,0,2012-03-31,INR,12419240000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2012,2011,0,2012-03-31,INR,15180280000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2011,2010,0,2011-03-31,INR,8295940000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2011,2010,0,2011-03-31,INR,11670420000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2010,2009,0,2010-03-31,INR,12472380000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2010,2009,0,2010-03-31,INR,10184820000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2009,2008,0,2009-03-31,INR,6921660000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2009,2008,0,2009-03-31,INR,8733760000000
RBI:MRKT_BOR_CSG_RN(1.0),NET,N_A,AFY,N_A,2008,2007,0,2008-03-31,INR,3314560000000
RBI:MRKT_BOR_CSG_RN(1.0),GROS,N_A,AFY,N_A,2008,2007,0,2008-03-31,INR,5119680000000
