DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_BUG_RESOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR2,0,2018-03-31,INR,2415510000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR1,0,2018-03-31,INR,1396230000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR22,0,2018-03-31,INR,395530000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR13,0,2018-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR21,0,2018-03-31,INR,1158250000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,TTL_BUG_RESOURCES,0,2018-03-31,INR,3811740000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR23,0,2018-03-31,INR,861730000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR11,0,2018-03-31,INR,1517800000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2018,2017,BR12,0,2018-03-31,INR,-121570000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR12,0,2017-03-31,INR,-72950000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR13,0,2017-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR21,0,2017-03-31,INR,618780000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR11,0,2017-03-31,INR,1216030000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR2,0,2017-03-31,INR,1760390000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR22,0,2017-03-31,INR,479680000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR23,0,2017-03-31,INR,661930000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,TTL_BUG_RESOURCES,0,2017-03-31,INR,2903470000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2017,2016,BR1,0,2017-03-31,INR,1143080000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR1,0,2016-03-31,INR,764660000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR21,0,2016-03-31,INR,500110000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR12,0,2016-03-31,INR,19410000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR23,0,2016-03-31,INR,260240000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR2,0,2016-03-31,INR,1215240000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,TTL_BUG_RESOURCES,0,2016-03-31,INR,1979900000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR22,0,2016-03-31,INR,454890000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR11,0,2016-03-31,INR,745250000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2016,2015,BR13,0,2016-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR23,0,2015-03-31,INR,344640000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,TTL_BUG_RESOURCES,0,2015-03-31,INR,2619150000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR21,0,2015-03-31,INR,1245630000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR12,0,2015-03-31,INR,37860000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR2,0,2015-03-31,INR,1805230000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR11,0,2015-03-31,INR,776060000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR13,0,2015-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR1,0,2015-03-31,INR,813920000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2015,2014,BR22,0,2015-03-31,INR,214960000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,TTL_BUG_RESOURCES,0,2014-03-31,INR,2428760000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR2,0,2014-03-31,INR,1679370000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR21,0,2014-03-31,INR,513360000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR1,0,2014-03-31,INR,749390000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR13,0,2014-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR23,0,2014-03-31,INR,880870000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR11,0,2014-03-31,INR,718250000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR12,0,2014-03-31,INR,31140000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2014,2013,BR22,0,2014-03-31,INR,285140000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR11,0,2013-03-31,INR,716690000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR22,0,2013-03-31,INR,217750000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR21,0,2013-03-31,INR,594430000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR1,0,2013-03-31,INR,747470000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR13,0,2013-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR12,0,2013-03-31,INR,30780000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR23,0,2013-03-31,INR,748270000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,TTL_BUG_RESOURCES,0,2013-03-31,INR,2307920000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2013,2012,BR2,0,2013-03-31,INR,1560450000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR13,0,2012-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR2,0,2012-03-31,INR,1699280000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,TTL_BUG_RESOURCES,0,2012-03-31,INR,2349680000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR12,0,2012-03-31,INR,27860000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR23,0,2012-03-31,INR,869860000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR1,0,2012-03-31,INR,650400000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR22,0,2012-03-31,INR,234960000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR11,0,2012-03-31,INR,622540000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2012,2011,BR21,0,2012-03-31,INR,594460000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR23,0,2011-03-31,INR,943540000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR1,0,2011-03-31,INR,650590000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR12,0,2011-03-31,INR,21770000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR2,0,2011-03-31,INR,1913090000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR21,0,2011-03-31,INR,661820000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR22,0,2011-03-31,INR,307730000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR11,0,2011-03-31,INR,628820000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,BR13,0,2011-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2011,2010,TTL_BUG_RESOURCES,0,2011-03-31,INR,2563680000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR22,0,2010-03-31,INR,96980000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR13,0,2010-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR21,0,2010-03-31,INR,534830000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR12,0,2010-03-31,INR,25890000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR23,0,2010-03-31,INR,623220000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,TTL_BUG_RESOURCES,0,2010-03-31,INR,1845010000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR2,0,2010-03-31,INR,1255020000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR1,0,2010-03-31,INR,589990000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2010,2009,BR11,0,2010-03-31,INR,564100000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR23,0,2009-03-31,INR,234770000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR11,0,2009-03-31,INR,500690000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR22,0,2009-03-31,INR,102980000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR21,0,2009-03-31,INR,516970000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR12,0,2009-03-31,INR,13960000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR2,0,2009-03-31,INR,854720000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,TTL_BUG_RESOURCES,0,2009-03-31,INR,1369370000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR13,0,2009-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2009,2008,BR1,0,2009-03-31,INR,514650000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR11,0,2008-03-31,INR,423810000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR12,0,2008-03-31,INR,12700000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR13,0,2008-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR23,0,2008-03-31,INR,153860000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR1,0,2008-03-31,INR,436510000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,TTL_BUG_RESOURCES,0,2008-03-31,INR,1438910000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR2,0,2008-03-31,INR,1002400000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR22,0,2008-03-31,INR,418250000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2008,2007,BR21,0,2008-03-31,INR,430290000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR1,0,2007-03-31,INR,364870000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,TTL_BUG_RESOURCES,0,2007-03-31,INR,878850000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR2,0,2007-03-31,INR,513980000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR13,0,2007-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR22,0,2007-03-31,INR,37640000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR21,0,2007-03-31,INR,314690000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR11,0,2007-03-31,INR,348970000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR23,0,2007-03-31,INR,161640000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2007,2006,BR12,0,2007-03-31,INR,15890000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR2,0,2006-03-31,INR,503070000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR21,0,2006-03-31,INR,272057000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR12,0,2006-03-31,INR,12681000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR13,0,2006-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,TTL_BUG_RESOURCES,0,2006-03-31,INR,847570000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR1,0,2006-03-31,INR,344500000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR22,0,2006-03-31,INR,53042000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR23,0,2006-03-31,INR,177970000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2006,2005,BR11,0,2006-03-31,INR,331819000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR22,0,2005-03-31,INR,77201000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR21,0,2005-03-31,INR,433202000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR11,0,2005-03-31,INR,265077000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,TTL_BUG_RESOURCES,0,2005-03-31,INR,928550000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR13,0,2005-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR1,0,2005-03-31,INR,273960000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR2,0,2005-03-31,INR,654590000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR12,0,2005-03-31,INR,8884000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2005,2004,BR23,0,2005-03-31,INR,144188000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR2,0,2004-03-31,INR,585640000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR11,0,2004-03-31,INR,228283000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,TTL_BUG_RESOURCES,0,2004-03-31,INR,825610000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR1,0,2004-03-31,INR,239970000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR12,0,2004-03-31,INR,11685000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR21,0,2004-03-31,INR,409083000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR22,0,2004-03-31,INR,45813000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR13,0,2004-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2004,2003,BR23,0,2004-03-31,INR,130744000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR12,0,2003-03-31,INR,7338000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR1,0,2003-03-31,INR,216970000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR21,0,2003-03-31,INR,372535000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR22,0,2003-03-31,INR,46856000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR2,0,2003-03-31,INR,550850000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR23,0,2003-03-31,INR,131456000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR11,0,2003-03-31,INR,209634000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,BR13,0,2003-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2003,2002,TTL_BUG_RESOURCES,0,2003-03-31,INR,767820000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR23,0,2002-03-31,INR,127087000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR21,0,2002-03-31,INR,345311000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,TTL_BUG_RESOURCES,0,2002-03-31,INR,768880000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR13,0,2002-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR22,0,2002-03-31,INR,170143000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR1,0,2002-03-31,INR,126340000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR2,0,2002-03-31,INR,642540000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR12,0,2002-03-31,INR,16520000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2002,2001,BR11,0,2002-03-31,INR,109816000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR11,0,2001-03-31,INR,209529000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR13,0,2001-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR21,0,2001-03-31,INR,306530000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,TTL_BUG_RESOURCES,0,2001-03-31,INR,669590000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR23,0,2001-03-31,INR,67518000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR12,0,2001-03-31,INR,13050000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR22,0,2001-03-31,INR,72967000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR1,0,2001-03-31,INR,222580000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2001,2000,BR2,0,2001-03-31,INR,447020000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,TTL_BUG_RESOURCES,0,2000-03-31,INR,676020000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR23,0,2000-03-31,INR,55065000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR13,0,2000-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR11,0,2000-03-31,INR,249830000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR12,0,2000-03-31,INR,10919000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR1,0,2000-03-31,INR,260750000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR2,0,2000-03-31,INR,415270000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR22,0,2000-03-31,INR,69436000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,2000,1999,BR21,0,2000-03-31,INR,290765000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR21,0,1999-03-31,INR,256126000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,TTL_BUG_RESOURCES,0,1999-03-31,INR,578070000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR11,0,1999-03-31,INR,203240000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR13,0,1999-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR12,0,1999-03-31,INR,3227000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR1,0,1999-03-31,INR,206470000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR23,0,1999-03-31,INR,51467000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR22,0,1999-03-31,INR,64005000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1999,1998,BR2,0,1999-03-31,INR,371600000000
