DATAFLOW,AUDST,CGB_GFD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2026,2025,0,2026-03-31,INR,3891272900000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2026,2025,0,2026-03-31,INR,24843800000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2026,2025,0,2026-03-31,INR,234903900000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2026,2025,0,2026-03-31,INR,15689361500000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2026,2025,0,2026-03-31,INR,11538339400000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2026,2025,0,2026-03-31,INR,15454456100000.002
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2025,2024,0,2025-03-31,INR,2345403600000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2025,2024,0,2025-03-31,INR,15375346700000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2025,2024,0,2025-03-31,INR,319923300000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2025,2024,0,2025-03-31,INR,15695270000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2025,2024,0,2025-03-31,INR,11628791600000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2025,2024,0,2025-03-31,INR,1401151500000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2024,2023,0,2024-03-31,INR,4182701300000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2024,2023,0,2024-03-31,INR,11804577700000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2024,2023,0,2024-03-31,INR,15995217300000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2024,2023,0,2024-03-31,INR,16546434300000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2024,2023,0,2024-03-31,INR,551212700000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2024,2023,0,2024-03-31,INR,7938300000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2023,2022,0,2023-03-31,INR,17006310000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2023,2022,0,2023-03-31,INR,5939935900000
