DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEFM_RN(1.0),N_A,M,2026,2025,0,2025-06-30,INR,2675690000000
RBI:CG_DEFM_RN(1.0),N_A,M,2026,2025,0,2025-05-31,INR,-1731690000000
RBI:CG_DEFM_RN(1.0),N_A,M,2026,2025,0,2025-04-30,INR,1863320000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2025-03-31,INR,2304180000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2025-02-28,INR,1773100000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2025-01-31,INR,2554530000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-12-31,INR,674950000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-11-30,INR,957700000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-10-31,INR,2763040000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-09-30,INR,393440000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-08-31,INR,1582310000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-07-31,INR,1412330000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-06-30,INR,850970000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-05-31,INR,-1595210000000
RBI:CG_DEFM_RN(1.0),N_A,M,2025,2024,0,2024-04-30,INR,2101360000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2024-03-31,INR,1532780000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2024-02-29,INR,3987630000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2024-01-31,INR,1203240000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-12-31,INR,756940000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-11-30,INR,1028840000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-10-31,INR,1018390000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-09-30,INR,590350000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-08-31,INR,372330000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-07-31,INR,1542230000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-06-30,INR,2410830000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-05-31,INR,766920000000
RBI:CG_DEFM_RN(1.0),N_A,M,2024,2023,0,2023-04-30,INR,1335950000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2023-03-31,INR,2838930000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2023-02-28,INR,2630570000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2023-01-31,INR,1978290000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-12-31,INR,148220000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-11-30,INR,2200170000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-10-31,INR,1382880000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-09-30,INR,782480000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-08-31,INR,2007700000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-07-31,INR,-110400000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-06-30,INR,1479500000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-05-31,INR,1290750000000
RBI:CG_DEFM_RN(1.0),N_A,M,2023,2022,0,2022-04-30,INR,748460000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2022-03-31,INR,2679260000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2022-02-28,INR,3787270000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2022-01-31,INR,1785020000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-12-31,INR,637520000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-11-30,INR,1485880000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-10-31,INR,201750000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-09-30,INR,588420000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-08-31,INR,1468660000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-07-31,INR,468980000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-06-30,INR,1510710000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-05-31,INR,444750000000
RBI:CG_DEFM_RN(1.0),N_A,M,2022,2021,0,2021-04-30,INR,786990000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2021-03-31,INR,4127440000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2021-02-28,INR,1715430000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2021-01-31,INR,755350000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-12-31,INR,829620000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-11-30,INR,1223530000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-10-31,INR,391610000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-09-30,INR,436460000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-08-31,INR,489980000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-07-31,INR,1589860000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-06-30,INR,1960200000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-05-31,INR,1868310000000
RBI:CG_DEFM_RN(1.0),N_A,M,2021,2020,0,2020-04-30,INR,2795120000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2020-03-31,INR,-1028340000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2020-02-29,INR,510130000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2020-01-31,INR,537470000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-12-31,INR,1238910000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-11-30,INR,873890000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-10-31,INR,688910000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-09-30,INR,977140000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-08-31,INR,62350000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-07-31,INR,1155500000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-06-30,INR,658980000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-05-31,INR,2091090000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-04-30,INR,1570480000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2019-03-31,INR,-2020810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2019-02-28,INR,806540000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2019-01-31,INR,693880000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-12-31,INR,-151680000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-11-30,INR,680420000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-10-31,INR,538510000000
