DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,CE5,0,1986-03-31,INR,498930000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,CGB3,0,1986-03-31,INR,61900000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,CGR3,0,1986-03-31,INR,280350000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF1,0,1986-03-31,INR,218580000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF2,0,1986-03-31,INR,135440000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF4,0,1986-03-31,INR,143460000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF5,0,1986-03-31,INR,106270000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF6,0,1986-03-31,INR,58890000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF7,0,1986-03-31,INR,-16230000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,CE5,0,1987-03-31,INR,594250000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,CGB3,0,1987-03-31,INR,70910000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,CGR3,0,1987-03-31,INR,330830000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF1,0,1987-03-31,INR,263420000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF2,0,1987-03-31,INR,170360000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF4,0,1987-03-31,INR,170960000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF5,0,1987-03-31,INR,131430000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF6,0,1987-03-31,INR,77770000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF7,0,1987-03-31,INR,-14690000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,CE5,0,1988-03-31,INR,640810000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,CGB3,0,1988-03-31,INR,65590000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,CGR3,0,1988-03-31,INR,370370000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF1,0,1988-03-31,INR,270440000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF2,0,1988-03-31,INR,184310000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF4,0,1988-03-31,INR,157930000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF5,0,1988-03-31,INR,129350000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF6,0,1988-03-31,INR,91370000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF7,0,1988-03-31,INR,-21140000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,CE5,0,1989-03-31,INR,745140000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,CGB3,0,1989-03-31,INR,65030000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,CGR3,0,1989-03-31,INR,435910000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF1,0,1989-03-31,INR,309230000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF2,0,1989-03-31,INR,207700000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF4,0,1989-03-31,INR,166450000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF5,0,1989-03-31,INR,134730000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF6,0,1989-03-31,INR,105150000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF7,0,1989-03-31,INR,-37630000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,CE5,0,1990-03-31,INR,879280000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,CGB3,0,1990-03-31,INR,138130000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,CGR3,0,1990-03-31,INR,522960000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF1,0,1990-03-31,INR,356320000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF2,0,1990-03-31,INR,237220000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF4,0,1990-03-31,INR,178750000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF5,0,1990-03-31,INR,144390000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF6,0,1990-03-31,INR,119140000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF7,0,1990-03-31,INR,-58430000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1991,1990,CE5,0,1991-03-31,INR,995860000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1991,1990,CGB3,0,1991-03-31,INR,147460000000
