DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE21,0,2026-03-31,INR,39442552700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE22,0,2026-03-31,INR,11210900000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2,0,2026-03-31,INR,50653452699999.99
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2104,0,2026-03-31,INR,19299687600000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE220201,0,2026-03-31,INR,1800000000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2101,0,2026-03-31,INR,3117323000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2102,0,2026-03-31,INR,12763380000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2201,0,2026-03-31,INR,2258444800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE220202,0,2026-03-31,INR,7152455200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2103,0,2026-03-31,INR,4262162100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2026,2025,CE2202,0,2026-03-31,INR,8952455200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2,0,2025-03-31,INR,47164870000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE220201,0,2025-03-31,INR,1595000000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2201,0,2025-03-31,INR,1706930400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE22,0,2025-03-31,INR,10184290000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2101,0,2025-03-31,INR,2972223500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2102,0,2025-03-31,INR,11379400000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE220202,0,2025-03-31,INR,6882359600000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2103,0,2025-03-31,INR,4278683800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2202,0,2025-03-31,INR,8477359600000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE21,0,2025-03-31,INR,36980580000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2025,2024,CE2104,0,2025-03-31,INR,18350272700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE2104,0,2024-03-31,INR,17050385899999.996
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE2102,0,2024-03-31,INR,10638720000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE2,0,2024-03-31,INR,44434470100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE220202,0,2024-03-31,INR,6338436900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE2103,0,2024-03-31,INR,4348985000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE220201,0,2024-03-31,INR,1542562800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2024,2023,CE22,0,2024-03-31,INR,9491950000000
