DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIAB_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL1103,0,2026-03-31,INR,5872076899999.999
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL1102,0,2026-03-31,INR,1950009900000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL14,0,2026-03-31,INR,8136335000000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL1,0,2026-03-31,INR,191527206200000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL2,0,2026-03-31,INR,8977900000000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL13,0,2026-03-31,INR,2222457500000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TTL_LIABLITIES,0,2026-03-31,INR,200505110000000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL12,0,2026-03-31,INR,5646393500000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL1104,0,2026-03-31,INR,44671785400000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL11,0,2026-03-31,INR,175522020200000
RBI:CGL_RN(1.0),N_A,AFY,2026,2025,TL1101,0,2026-03-31,INR,123028148000000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL1102,0,2025-03-31,INR,1950009900000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL1104,0,2025-03-31,INR,40881247400000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL1101,0,2025-03-31,INR,111997929100000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TTL_LIABLITIES,0,2025-03-31,INR,185681572100000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL12,0,2025-03-31,INR,5973592600000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL14,0,2025-03-31,INR,7225413500000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL2,0,2025-03-31,INR,8743000000000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL1103,0,2025-03-31,INR,5872076899999.999
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL1,0,2025-03-31,INR,176938572100000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL11,0,2025-03-31,INR,160701263300000
RBI:CGL_RN(1.0),N_A,AFY,2025,2024,TL13,0,2025-03-31,INR,3038302700000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL1102,0,2024-03-31,INR,1351012900000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL12,0,2024-03-31,INR,6839193300000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL1103,0,2024-03-31,INR,7365609100000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL11,0,2024-03-31,INR,148360452300000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL1101,0,2024-03-31,INR,102488827400000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL2,0,2024-03-31,INR,7960780000000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TTL_LIABLITIES,0,2024-03-31,INR,173457769200000.03
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL1104,0,2024-03-31,INR,37155002900000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL14,0,2024-03-31,INR,6384107000000
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL13,0,2024-03-31,INR,3913236599999.9995
RBI:CGL_RN(1.0),N_A,AFY,2024,2023,TL1,0,2024-03-31,INR,165496989200000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL2,0,2023-03-31,INR,7484558700000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL1102,0,2023-03-31,INR,1149376400000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL1,0,2023-03-31,INR,148683988300000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TTL_LIABLITIES,0,2023-03-31,INR,156168547000000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL1101,0,2023-03-31,INR,91412326400000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL13,0,2023-03-31,INR,4100802600000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL11,0,2023-03-31,INR,132116003000000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL12,0,2023-03-31,INR,7085810700000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL1103,0,2023-03-31,INR,7083751000000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL1104,0,2023-03-31,INR,32470549200000
RBI:CGL_RN(1.0),N_A,AFY,2023,2022,TL14,0,2023-03-31,INR,5381372000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL1102,0,2022-03-31,INR,1387359500000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL1104,0,2022-03-31,INR,28162880000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL14,0,2022-03-31,INR,4197655000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL11,0,2022-03-31,INR,116002114000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL1,0,2022-03-31,INR,132444288000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL13,0,2022-03-31,INR,4304689500000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TTL_LIABLITIES,0,2022-03-31,INR,139027628000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL1103,0,2022-03-31,INR,6184624900000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL2,0,2022-03-31,INR,6583340000000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL12,0,2022-03-31,INR,7939829500000
RBI:CGL_RN(1.0),N_A,AFY,2022,2021,TL1101,0,2022-03-31,INR,80267249600000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL12,0,2021-03-31,INR,10017390000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1,0,2021-03-31,INR,118093504500000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TTL_LIABLITIES,0,2021-03-31,INR,124241794500000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1101,0,2021-03-31,INR,71351440000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1104,0,2021-03-31,INR,22219830700000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL14,0,2021-03-31,INR,3339480000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL2,0,2021-03-31,INR,6148290000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL13,0,2021-03-31,INR,4255850000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL11,0,2021-03-31,INR,100480780700000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1102,0,2021-03-31,INR,932970000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1103,0,2021-03-31,INR,5976540000000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL12,0,2020-03-31,INR,11613938300000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL2,0,2020-03-31,INR,5443935100000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL1103,0,2020-03-31,INR,3758266000000
