DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGRECPT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR1,0,2026-03-31,INR,34204088900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR11,0,2026-03-31,INR,28374088900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR11011,0,2026-03-31,INR,9080258700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR11012,0,2026-03-31,INR,6848049300000.001
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR11022,0,2026-03-31,INR,1745280000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR21,0,2026-03-31,INR,11538339400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR11021,0,2026-03-31,INR,3033980000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR1101,0,2026-03-31,INR,15928308000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR27,0,2026-03-31,INR,234903900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR1201,0,2026-03-31,INR,477379800000.00006
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR26,0,2026-03-31,INR,470000000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,TTL_RECEIPTS,0,2026-03-31,INR,50628606600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,OTHR,0,2026-03-31,INR,407449800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,OTH,0,2026-03-31,INR,7666520900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,OTHE,0,2026-03-31,INR,5352620200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR23,0,2026-03-31,INR,50000000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR25,0,2026-03-31,INR,290000000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR12,0,2026-03-31,INR,5830000000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR1102,0,2026-03-31,INR,12445780900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR22,0,2026-03-31,INR,3433824600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2026,2025,CGR2,0,2026-03-31,INR,16424517700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2025,2024,OTH,0,2025-03-31,INR,6798687400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2025,2024,CGR1201,0,2025-03-31,INR,340418600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2025,2024,CGR21,0,2025-03-31,INR,11628791600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2025,2024,CGR11012,0,2025-03-31,INR,6184605000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2025,2024,CGR12,0,2025-03-31,INR,5310000000000
