DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2026,2025,CE12,0,2026-03-31,INR,25594536100000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2026,2025,CE1,0,2026-03-31,INR,50653450400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2026,2025,CE1101,0,2026-03-31,INR,16006794700000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2026,2025,CE11,0,2026-03-31,INR,25058914300000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2026,2025,CE1102,0,2026-03-31,INR,2279913500000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2025,2024,CE1101,0,2025-03-31,INR,16068479400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2025,2024,CE1102,0,2025-03-31,INR,2128037700000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2025,2024,CE12,0,2025-03-31,INR,23973002900000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2025,2024,CE11,0,2025-03-31,INR,23191862799999.996
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2025,2024,CE1,0,2025-03-31,INR,47164865700000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2024,2023,CE1,0,2024-03-31,INR,44434472300000.01
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2024,2023,CE1102,0,2024-03-31,INR,2653097300000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2024,2023,CE1101,0,2024-03-31,INR,14500331000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2024,2023,CE11,0,2024-03-31,INR,21987203000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2024,2023,CE12,0,2024-03-31,INR,22447269300000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2023,2022,CE11,0,2023-03-31,INR,21080516500000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2023,2022,CE1102,0,2023-03-31,INR,2288126400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2023,2022,CE1,0,2023-03-31,INR,41931572300000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2023,2022,CE1101,0,2023-03-31,INR,14341231700000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2023,2022,CE12,0,2023-03-31,INR,20851055800000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2022,2021,CE11,0,2022-03-31,INR,18631160000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2022,2021,CE12,0,2022-03-31,INR,19306850000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2022,2021,CE1,0,2022-03-31,INR,37938010000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2022,2021,CE1102,0,2022-03-31,INR,2830840000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2022,2021,CE1101,0,2022-03-31,INR,12238610000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2021,2020,CE1102,0,2021-03-31,INR,1746400000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2021,2020,CE11,0,2021-03-31,INR,18089810000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2021,2020,CE1101,0,2021-03-31,INR,13238980000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2021,2020,CE12,0,2021-03-31,INR,17008550000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2021,2020,CE1,0,2021-03-31,INR,35098360000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2020,2019,CE1102,0,2020-03-31,INR,1530582400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2020,2019,CE1101,0,2020-03-31,INR,7197312900000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2020,2019,CE11,0,2020-03-31,INR,11531874700000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2020,2019,CE12,0,2020-03-31,INR,15331424800000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2020,2019,CE1,0,2020-03-31,INR,26863299500000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2019,2018,CE1102,0,2019-03-31,INR,1229490000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2019,2018,CE12,0,2019-03-31,INR,12891338400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2019,2018,CE11,0,2019-03-31,INR,10259787700000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2019,2018,CE1,0,2019-03-31,INR,23151126100000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2019,2018,CE1101,0,2019-03-31,INR,6318260000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2018,2017,CE1102,0,2018-03-31,INR,1133815400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2018,2017,CE1101,0,2018-03-31,INR,6237299900000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2018,2017,CE11,0,2018-03-31,INR,9982010000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2018,2017,CE1,0,2018-03-31,INR,21419730000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2018,2017,CE12,0,2018-03-31,INR,11437720000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2017,2016,CE1102,0,2017-03-31,INR,1053030000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2017,2016,CE1,0,2017-03-31,INR,19751940000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2017,2016,CE1101,0,2017-03-31,INR,5699099900000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2017,2016,CE11,0,2017-03-31,INR,8993690000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2017,2016,CE12,0,2017-03-31,INR,10758250000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2016,2015,CE1101,0,2016-03-31,INR,4952340000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2016,2015,CE11,0,2016-03-31,INR,8350190000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2016,2015,CE12,0,2016-03-31,INR,9901716400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2016,2015,CE1,0,2016-03-31,INR,18251906400000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2016,2015,CE1102,0,2016-03-31,INR,914620000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2015,2014,CE1,0,2015-03-31,INR,16949720000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2015,2014,CE11,0,2015-03-31,INR,8138130000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2015,2014,CE12,0,2015-03-31,INR,8811590000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2015,2014,CE1101,0,2015-03-31,INR,4597860000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2015,2014,CE1102,0,2015-03-31,INR,620380000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2014,2013,CE1101,0,2014-03-31,INR,4783760000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2014,2013,CE1,0,2014-03-31,INR,15875740000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2014,2013,CE1102,0,2014-03-31,INR,1348400000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2014,2013,CE12,0,2014-03-31,INR,8030700000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2014,2013,CE11,0,2014-03-31,INR,7845040000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2013,2012,CE12,0,2013-03-31,INR,6928560000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2013,2012,CE1,0,2013-03-31,INR,14352730000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2013,2012,CE1102,0,2013-03-31,INR,1193460000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2013,2012,CE11,0,2013-03-31,INR,7424170000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2013,2012,CE1101,0,2013-03-31,INR,4582220000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2012,2011,CE12,0,2012-03-31,INR,6270750000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2012,2011,CE1101,0,2012-03-31,INR,4369430000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2012,2011,CE1102,0,2012-03-31,INR,1136120000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2012,2011,CE1,0,2012-03-31,INR,13323960000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2012,2011,CE11,0,2012-03-31,INR,7053210000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2011,2010,CE12,0,2011-03-31,INR,5514710000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2011,2010,CE11,0,2011-03-31,INR,6660690000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2011,2010,CE1,0,2011-03-31,INR,12175400000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2011,2010,CE1101,0,2011-03-31,INR,4043120000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2011,2010,CE1102,0,2011-03-31,INR,1249900000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2010,2009,CE1,0,2010-03-31,INR,10423430000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2010,2009,CE11,0,2010-03-31,INR,5282420000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2010,2009,CE1102,0,2010-03-31,INR,1026280000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2010,2009,CE12,0,2010-03-31,INR,5141010000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2010,2009,CE1101,0,2010-03-31,INR,3044400000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2009,2008,CE1101,0,2009-03-31,INR,2732220000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2009,2008,CE1102,0,2009-03-31,INR,897970000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2009,2008,CE11,0,2009-03-31,INR,4713990000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2009,2008,CE1,0,2009-03-31,INR,8995440000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2009,2008,CE12,0,2009-03-31,INR,4281450000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2008,2007,CE1,0,2008-03-31,INR,7263980000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2008,2007,CE12,0,2008-03-31,INR,4007280000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2008,2007,CE11,0,2008-03-31,INR,3256700000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2008,2007,CE1101,0,2008-03-31,INR,1729550000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2008,2007,CE1102,0,2008-03-31,INR,616480000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2007,2006,CE12,0,2007-03-31,INR,3412780000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2007,2006,CE1102,0,2007-03-31,INR,437620000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2007,2006,CE11,0,2007-03-31,INR,2557180000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2007,2006,CE1,0,2007-03-31,INR,5969960000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2007,2006,CE1101,0,2007-03-31,INR,1427720000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2006,2005,CE11,0,2006-03-31,INR,2290600000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2006,2005,CE1,0,2006-03-31,INR,5197370000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2006,2005,CE12,0,2006-03-31,INR,2906770000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2006,2005,CE1101,0,2006-03-31,INR,1330530000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2006,2005,CE1102,0,2006-03-31,INR,382640000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2005,2004,CE1101,0,2005-03-31,INR,1150300000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2005,2004,CE1102,0,2005-03-31,INR,299060000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2005,2004,CE11,0,2005-03-31,INR,2149550000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2005,2004,CE12,0,2005-03-31,INR,2629040000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2005,2004,CE1,0,2005-03-31,INR,4778590000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2004,2003,CE1101,0,2004-03-31,INR,1080710000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2004,2003,CE11,0,2004-03-31,INR,1954280000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2004,2003,CE12,0,2004-03-31,INR,2432980000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2004,2003,CE1102,0,2004-03-31,INR,238590000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2004,2003,CE1,0,2004-03-31,INR,4387260000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE12,0,2003-03-31,INR,2427490000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE1102,0,2003-03-31,INR,220070000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE1,0,2003-03-31,INR,4269460000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE1101,0,2003-03-31,INR,1038200000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE11,0,2003-03-31,INR,1841970000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE12,0,2002-03-31,INR,2154560000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE11,0,2002-03-31,INR,1593640000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE1101,0,2002-03-31,INR,808680000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE1102,0,2002-03-31,INR,151300000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE1,0,2002-03-31,INR,3748200000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE11,0,2001-03-31,INR,1393860000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE1101,0,2001-03-31,INR,717310000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE12,0,2001-03-31,INR,1974700000000
