DATAFLOW,AUDST,FREQ,INDICRS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1986,1985,0,1986-03-31,RO,7.55
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1986,1985,0,1986-03-31,RO,4.68
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1986,1985,0,1986-03-31,RO,4.96
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1986,1985,0,1986-03-31,RO,3.67
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1986,1985,0,1986-03-31,RO,2.03
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1986,1985,0,1986-03-31,RO,-0.56
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1986,1985,0,1986-03-31,RO,1.84
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1986,1985,0,1986-03-31,RO,2.14
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1986,1985,0,1986-03-31,RO,9.9
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1986,1985,0,1986-03-31,RO,1.92
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1986,1985,0,1986-03-31,RO,7.98
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1986,1985,0,1986-03-31,RO,9.68
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1986,1985,0,1986-03-31,RO,7.3
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1986,1985,0,1986-03-31,RO,2.38
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1986,1985,0,1986-03-31,RO,6.67
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1986,1985,0,1986-03-31,RO,18.19
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1986,1985,0,1986-03-31,RO,11.72
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1986,1985,0,1986-03-31,RO,2.59
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1986,1985,0,1986-03-31,RO,1.66
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1986,1985,0,1986-03-31,RO,6.47
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1986,1985,0,1986-03-31,RO,2.64
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1986,1985,0,1986-03-31,RO,2.76
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1987,1986,0,1987-03-31,RO,8.13
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1987,1986,0,1987-03-31,RO,5.26
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1987,1986,0,1987-03-31,RO,5.28
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1987,1986,0,1987-03-31,RO,4.06
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1987,1986,0,1987-03-31,RO,2.4
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1987,1986,0,1987-03-31,RO,-0.45
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1987,1986,0,1987-03-31,RO,2.55
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1987,1986,0,1987-03-31,RO,2.19
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1987,1986,0,1987-03-31,RO,10.14
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1987,1986,0,1987-03-31,RO,1.92
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1987,1986,0,1987-03-31,RO,8.21
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1987,1986,0,1987-03-31,RO,10.21
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1987,1986,0,1987-03-31,RO,7.51
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1987,1986,0,1987-03-31,RO,2.71
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1987,1986,0,1987-03-31,RO,6.66
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1987,1986,0,1987-03-31,RO,19.42
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1987,1986,0,1987-03-31,RO,12.61
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1987,1986,0,1987-03-31,RO,2.85
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1987,1986,0,1987-03-31,RO,1.68
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1987,1986,0,1987-03-31,RO,6.81
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1987,1986,0,1987-03-31,RO,2.86
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1987,1986,0,1987-03-31,RO,3.23
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1988,1987,0,1988-03-31,RO,7.34
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1988,1987,0,1988-03-31,RO,5.01
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1988,1987,0,1988-03-31,RO,4.29
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1988,1987,0,1988-03-31,RO,3.51
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1988,1987,0,1988-03-31,RO,2.48
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1988,1987,0,1988-03-31,RO,-0.57
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1988,1987,0,1988-03-31,RO,1.58
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1988,1987,0,1988-03-31,RO,1.78
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1988,1987,0,1988-03-31,RO,10.23
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1988,1987,0,1988-03-31,RO,1.83
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1988,1987,0,1988-03-31,RO,8.4
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1988,1987,0,1988-03-31,RO,10.06
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1988,1987,0,1988-03-31,RO,7.61
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1988,1987,0,1988-03-31,RO,2.45
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1988,1987,0,1988-03-31,RO,6.9
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1988,1987,0,1988-03-31,RO,18.54
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1988,1987,0,1988-03-31,RO,12.54
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1988,1987,0,1988-03-31,RO,3.06
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1988,1987,0,1988-03-31,RO,1.62
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1988,1987,0,1988-03-31,RO,6.0
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1988,1987,0,1988-03-31,RO,2.52
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1988,1987,0,1988-03-31,RO,3.25
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1989,1988,0,1989-03-31,RO,7.08
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1989,1988,0,1989-03-31,RO,4.75
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1989,1988,0,1989-03-31,RO,3.81
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1989,1988,0,1989-03-31,RO,3.08
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1989,1988,0,1989-03-31,RO,2.41
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1989,1988,0,1989-03-31,RO,-0.86
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1989,1988,0,1989-03-31,RO,1.29
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1989,1988,0,1989-03-31,RO,1.49
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1989,1988,0,1989-03-31,RO,10.18
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1989,1988,0,1989-03-31,RO,2.02
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1989,1988,0,1989-03-31,RO,8.16
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1989,1988,0,1989-03-31,RO,9.98
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1989,1988,0,1989-03-31,RO,7.73
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1989,1988,0,1989-03-31,RO,2.25
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1989,1988,0,1989-03-31,RO,6.84
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1989,1988,0,1989-03-31,RO,18.11
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1989,1988,0,1989-03-31,RO,12.38
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1989,1988,0,1989-03-31,RO,3.27
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1989,1988,0,1989-03-31,RO,1.77
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1989,1988,0,1989-03-31,RO,5.72
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1989,1988,0,1989-03-31,RO,2.35
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1989,1988,0,1989-03-31,RO,3.05
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1990,1989,0,1990-03-31,RO,7.1
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1990,1989,0,1990-03-31,RO,4.73
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1990,1989,0,1990-03-31,RO,3.56
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1990,1989,0,1990-03-31,RO,2.88
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1990,1989,0,1990-03-31,RO,2.37
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1990,1989,0,1990-03-31,RO,-1.16
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1990,1989,0,1990-03-31,RO,2.11
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1990,1989,0,1990-03-31,RO,2.75
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1990,1989,0,1990-03-31,RO,10.29
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1990,1989,0,1990-03-31,RO,1.99
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1990,1989,0,1990-03-31,RO,8.29
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1990,1989,0,1990-03-31,RO,10.42
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1990,1989,0,1990-03-31,RO,7.64
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1990,1989,0,1990-03-31,RO,2.78
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1990,1989,0,1990-03-31,RO,5.98
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1990,1989,0,1990-03-31,RO,18.51
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1990,1989,0,1990-03-31,RO,12.79
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1990,1989,0,1990-03-31,RO,3.54
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1990,1989,0,1990-03-31,RO,2.09
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1990,1989,0,1990-03-31,RO,5.72
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1990,1989,0,1990-03-31,RO,2.35
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1990,1989,0,1990-03-31,RO,2.87
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1991,1990,0,1991-03-31,RO,7.61
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1991,1990,0,1991-03-31,RO,5.24
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1991,1990,0,1991-03-31,RO,3.95
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1991,1990,0,1991-03-31,RO,3.06
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1991,1990,0,1991-03-31,RO,3.17
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1991,1990,0,1991-03-31,RO,-0.5
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1991,1990,0,1991-03-31,RO,1.94
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1991,1990,0,1991-03-31,RO,2.52
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1991,1990,0,1991-03-31,RO,9.82
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1991,1990,0,1991-03-31,RO,1.88
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1991,1990,0,1991-03-31,RO,7.94
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1991,1990,0,1991-03-31,RO,9.37
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1991,1990,0,1991-03-31,RO,7.33
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1991,1990,0,1991-03-31,RO,2.04
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1991,1990,0,1991-03-31,RO,6.65
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1991,1990,0,1991-03-31,RO,17.96
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1991,1990,0,1991-03-31,RO,12.54
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1991,1990,0,1991-03-31,RO,3.67
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1991,1990,0,1991-03-31,RO,2.07
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1991,1990,0,1991-03-31,RO,5.42
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1991,1990,0,1991-03-31,RO,2.07
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1991,1990,0,1991-03-31,RO,2.63
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1992,1991,0,1992-03-31,RO,5.39
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1992,1991,0,1992-03-31,RO,3.65
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1992,1991,0,1992-03-31,RO,1.44
