DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2017,2016,0,2017-03-31,INR,3981390000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2017,2016,0,2017-03-31,INR,862450000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2017,2016,0,2017-03-31,INR,236240000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2017,2016,0,2017-03-31,INR,-412560000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2017,2016,0,2017-03-31,INR,221080000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2017,2016,0,2017-03-31,INR,-2419000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2017,2016,0,2017-03-31,INR,7062490000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2017,2016,0,2017-03-31,INR,4592890000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2017,2016,0,2017-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2016,2015,0,2016-03-31,INR,-47470000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2016,2015,0,2016-03-31,INR,5827070000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2016,2015,0,2016-03-31,INR,3216180000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2016,2015,0,2016-03-31,INR,5050260000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2016,2015,0,2016-03-31,INR,157780000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2016,2015,0,2016-03-31,INR,-2161080000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2016,2015,0,2016-03-31,INR,-922780000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2016,2015,0,2016-03-31,INR,534180000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2016,2015,0,2016-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2015,2014,0,2015-03-31,INR,332760000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2015,2014,0,2015-03-31,INR,-814240000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2015,2014,0,2015-03-31,INR,-2781680000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2015,2014,0,2015-03-31,INR,555990000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2015,2014,0,2015-03-31,INR,4469220000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2015,2014,0,2015-03-31,INR,4268110000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2015,2014,0,2015-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2015,2014,0,2015-03-31,INR,2370450000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2015,2014,0,2015-03-31,INR,135610000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2014,2013,0,2014-03-31,INR,85750000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2014,2013,0,2014-03-31,INR,7023230000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2014,2013,0,2014-03-31,INR,717550000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2014,2013,0,2014-03-31,INR,864120000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2014,2013,0,2014-03-31,INR,3094770000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2014,2013,0,2014-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2014,2013,0,2014-03-31,INR,305940000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2014,2013,0,2014-03-31,INR,354300000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2014,2013,0,2014-03-31,INR,12445660000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2013,2012,0,2013-03-31,INR,6738480000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2013,2012,0,2013-03-31,INR,220470000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2013,2012,0,2013-03-31,INR,2919510000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2013,2012,0,2013-03-31,INR,61100000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2013,2012,0,2013-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2013,2012,0,2013-03-31,INR,49760000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2013,2012,0,2013-03-31,INR,10879880000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2013,2012,0,2013-03-31,INR,801780000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2013,2012,0,2013-03-31,INR,88780000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2012,2011,0,2012-03-31,INR,2895620000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2012,2011,0,2012-03-31,INR,10255480000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2012,2011,0,2012-03-31,INR,1302710000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2012,2011,0,2012-03-31,INR,-273860000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2012,2011,0,2012-03-31,INR,6038110000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2012,2011,0,2012-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2012,2011,0,2012-03-31,INR,76850000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2012,2011,0,2012-03-31,INR,137880000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2012,2011,0,2012-03-31,INR,78170000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2011,2010,0,2011-03-31,INR,4654330000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2011,2010,0,2011-03-31,INR,624550000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2011,2010,0,2011-03-31,INR,268650000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2011,2010,0,2011-03-31,INR,250190000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2011,2010,0,2011-03-31,INR,0.0
