DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SECTOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC9,0,2017-03-31,INR,1980850000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC5,0,2017-03-31,INR,493710000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC1,0,2017-03-31,INR,193940000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC6,0,2017-03-31,INR,2298740000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC4,0,2017-03-31,INR,2058770000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC7,0,2017-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC3,0,2017-03-31,INR,10240000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC8,0,2017-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,TTL,0,2017-03-31,INR,7062480000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2017,2016,SEC2,0,2017-03-31,INR,26230000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC4,0,2016-03-31,INR,1715190000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC3,0,2016-03-31,INR,11050000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,TTL,0,2016-03-31,INR,5827070000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC9,0,2016-03-31,INR,1721220000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC5,0,2016-03-31,INR,455120000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC8,0,2016-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC1,0,2016-03-31,INR,109420000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC2,0,2016-03-31,INR,30050000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC6,0,2016-03-31,INR,1785020000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2016,2015,SEC7,0,2016-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2015,2014,SEC6,0,2015-03-31,INR,1005200000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2015,2014,SEC8,0,2015-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2015,2014,SEC3,0,2015-03-31,INR,9100000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2015,2014,SEC4,0,2015-03-31,INR,1708120000000
