DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1986,1985,SSV1,0,1986-03-31,INR,117720000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1986,1985,SSV2,0,1986-03-31,INR,98730000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1986,1985,SSV3,0,1986-03-31,INR,7200000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1986,1985,TTL_OUTSTNDINGS,0,1986-03-31,INR,223650000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1986,1985,SSV1,0,1986-03-31,INR,52850000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1986,1985,SSV2,0,1986-03-31,INR,31870000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1986,1985,SSV3,0,1986-03-31,INR,1220000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1986,1985,TTL_RECEIPTS,0,1986-03-31,INR,85940000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1987,1986,SSV1,0,1987-03-31,INR,115180000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1987,1986,SSV2,0,1987-03-31,INR,134310000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1987,1986,SSV3,0,1987-03-31,INR,8710000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1987,1986,TTL_OUTSTNDINGS,0,1987-03-31,INR,258200000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1987,1986,SSV1,0,1987-03-31,INR,41270000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1987,1986,SSV2,0,1987-03-31,INR,40140000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1987,1986,SSV3,0,1987-03-31,INR,1610000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1987,1986,TTL_RECEIPTS,0,1987-03-31,INR,83020000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1988,1987,SSV1,0,1988-03-31,INR,115830000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1988,1987,SSV2,0,1988-03-31,INR,168020000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1988,1987,SSV3,0,1988-03-31,INR,12280000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1988,1987,TTL_OUTSTNDINGS,0,1988-03-31,INR,296130000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1988,1987,SSV1,0,1988-03-31,INR,48230000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1988,1987,SSV2,0,1988-03-31,INR,44410000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1988,1987,SSV3,0,1988-03-31,INR,3270000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1988,1987,TTL_RECEIPTS,0,1988-03-31,INR,95910000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1989,1988,SSV1,0,1989-03-31,INR,119420000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1989,1988,SSV2,0,1989-03-31,INR,213590000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1989,1988,SSV3,0,1989-03-31,INR,16530000000.000002
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1989,1988,TTL_OUTSTNDINGS,0,1989-03-31,INR,349540000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1989,1988,SSV1,0,1989-03-31,INR,61500000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1989,1988,SSV2,0,1989-03-31,INR,60930000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1989,1988,SSV3,0,1989-03-31,INR,3760000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1989,1988,TTL_RECEIPTS,0,1989-03-31,INR,126190000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1990,1989,SSV1,0,1990-03-31,INR,145150000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1990,1989,SSV2,0,1990-03-31,INR,275590000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1990,1989,SSV3,0,1990-03-31,INR,22550000000
