DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE32,0,2025-03-31,INR,3335600000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE33,0,2025-03-31,INR,5931100000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE31,0,2025-03-31,INR,5635320000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE3,0,2025-03-31,INR,16905920000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE21,0,2025-03-31,INR,16338360000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE2,0,2025-03-31,INR,39294770000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2025,2024,SE22,0,2025-03-31,INR,22956410000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE22,0,2024-03-31,INR,20596409000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE31,0,2024-03-31,INR,5187322934000
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE3,0,2024-03-31,INR,15298867520570
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE33,0,2024-03-31,INR,5387893210000
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE32,0,2024-03-31,INR,2965260424980
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE2,0,2024-03-31,INR,36273071782410
RBI:SG_EXP_RN(1.0),N_A,AFY,2024,2023,SE21,0,2024-03-31,INR,15676662000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE2,0,2023-03-31,INR,29469216326200
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE22,0,2023-03-31,INR,16891060000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE31,0,2023-03-31,INR,4587476264275
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE21,0,2023-03-31,INR,12578156000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE32,0,2023-03-31,INR,2545952023195
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE33,0,2023-03-31,INR,4922693800000
RBI:SG_EXP_RN(1.0),N_A,AFY,2023,2022,SE3,0,2023-03-31,INR,13305140306925
RBI:SG_EXP_RN(1.0),N_A,AFY,2022,2021,SE33,0,2022-03-31,INR,4294490000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2022,2021,SE2,0,2022-03-31,INR,25989490000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2022,2021,SE32,0,2022-03-31,INR,2352040000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2022,2021,SE21,0,2022-03-31,INR,11011440000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2022,2021,SE22,0,2022-03-31,INR,14978050000000
