DATAFLOW,AUDST,FREQ,INDICATORS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1986,1985,0,1986-03-31,RO,-0.2259
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1986,1985,0,1986-03-31,RO,2.5977
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1986,1985,0,1986-03-31,RO,1.5823
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1986,1985,0,1986-03-31,RO,-1.2413
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1986,1985,0,1986-03-31,RO,-0.583
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1986,1985,0,1986-03-31,RO,15.4968
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1986,1985,0,1986-03-31,RO,11.5445
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1986,1985,0,1986-03-31,RO,7.5334
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1986,1985,0,1986-03-31,RO,4.0111
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1986,1985,0,1986-03-31,RO,16.0798
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1987,1986,0,1987-03-31,RO,-0.0525
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1987,1986,0,1987-03-31,RO,2.8613
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1987,1986,0,1987-03-31,RO,1.5953
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1987,1986,0,1987-03-31,RO,-1.3184
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1987,1986,0,1987-03-31,RO,0.2059
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1987,1986,0,1987-03-31,RO,15.9858
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1987,1986,0,1987-03-31,RO,11.8
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1987,1986,0,1987-03-31,RO,7.7469
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1987,1986,0,1987-03-31,RO,4.0534
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1987,1986,0,1987-03-31,RO,15.7796
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1988,1987,0,1988-03-31,RO,0.2955
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1988,1987,0,1988-03-31,RO,3.0469
