DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2025,2024,SE1203,0,2025-03-31,INR,5267490000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2025,2024,SE11,0,2025-03-31,INR,47539280000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2025,2024,SE12,0,2025-03-31,INR,15303710000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2025,2024,SE1202,0,2025-03-31,INR,859790000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2025,2024,SE1,0,2025-03-31,INR,62842990000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2025,2024,SE1201,0,2025-03-31,INR,9176430000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2024,2023,SE1203,0,2024-03-31,INR,4851002363000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2024,2023,SE1,0,2024-03-31,INR,57711652094980
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2024,2023,SE1201,0,2024-03-31,INR,8678698061500
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2024,2023,SE11,0,2024-03-31,INR,43513038177480
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2024,2023,SE1202,0,2024-03-31,INR,668913493000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2024,2023,SE12,0,2024-03-31,INR,14198613917500
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2023,2022,SE12,0,2023-03-31,INR,10770653181321
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2023,2022,SE11,0,2023-03-31,INR,37159496925257
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2023,2022,SE1202,0,2023-03-31,INR,719682739562
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2023,2022,SE1201,0,2023-03-31,INR,5985324728519
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2023,2022,SE1203,0,2023-03-31,INR,4065645713240
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2023,2022,SE1,0,2023-03-31,INR,47930150106578
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2022,2021,SE1202,0,2022-03-31,INR,425420000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2022,2021,SE1,0,2022-03-31,INR,42299300000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2022,2021,SE11,0,2022-03-31,INR,33271970000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2022,2021,SE1201,0,2022-03-31,INR,5322970000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2022,2021,SE12,0,2022-03-31,INR,9027330000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2022,2021,SE1203,0,2022-03-31,INR,3278940000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2021,2020,SE11,0,2021-03-31,INR,29578440000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2021,2020,SE1201,0,2021-03-31,INR,4136870000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2021,2020,SE1202,0,2021-03-31,INR,430970000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2021,2020,SE1203,0,2021-03-31,INR,2828640000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2021,2020,SE12,0,2021-03-31,INR,7396480000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2021,2020,SE1,0,2021-03-31,INR,36974920000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2020,2019,SE1202,0,2020-03-31,INR,418620000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2020,2019,SE12,0,2020-03-31,INR,7033700000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2020,2019,SE1203,0,2020-03-31,INR,2431310000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2020,2019,SE1,0,2020-03-31,INR,34950030000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2020,2019,SE1201,0,2020-03-31,INR,4183770000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2020,2019,SE11,0,2020-03-31,INR,27916320000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2019,2018,SE11,0,2019-03-31,INR,26381220000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2019,2018,SE1203,0,2019-03-31,INR,2127160000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2019,2018,SE12,0,2019-03-31,INR,6995910000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2019,2018,SE1,0,2019-03-31,INR,33377130000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2019,2018,SE1201,0,2019-03-31,INR,4403110000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2019,2018,SE1202,0,2019-03-31,INR,465640000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2018,2017,SE1,0,2018-03-31,INR,29245990000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2018,2017,SE1202,0,2018-03-31,INR,378460000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2018,2017,SE1201,0,2018-03-31,INR,3936210000000
