DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FINANCE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_BOR_RN(1.0),N_A,AFY,2025,2024,SGB,0,2025-03-31,INR,10391390000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2025,2024,SGB2,0,2025-03-31,INR,8205760000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2025,2024,SGB3,0,2025-03-31,INR,-323500000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2025,2024,SGB4,0,2025-03-31,INR,1115150000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2025,2024,SGB1,0,2025-03-31,INR,1393980000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2024,2023,SGB2,0,2024-03-31,INR,7825128000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2024,2023,SGB,0,2024-03-31,INR,10368188000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2024,2023,SGB4,0,2024-03-31,INR,1698946000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2024,2023,SGB1,0,2024-03-31,INR,1174163000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2024,2023,SGB3,0,2024-03-31,INR,-330049000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2023,2022,SGB1,0,2023-03-31,INR,878536000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2023,2022,SGB3,0,2023-03-31,INR,-361841000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2023,2022,SGB,0,2023-03-31,INR,7216319000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2023,2022,SGB4,0,2023-03-31,INR,1271457000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2023,2022,SGB2,0,2023-03-31,INR,5428167000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2022,2021,SGB3,0,2022-03-31,INR,-257209000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2022,2021,SGB2,0,2022-03-31,INR,5090721000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2022,2021,SGB,0,2022-03-31,INR,6546782000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2022,2021,SGB4,0,2022-03-31,INR,-65370000000.0002
RBI:SG_BOR_RN(1.0),N_A,AFY,2022,2021,SGB1,0,2022-03-31,INR,1778640000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2021,2020,SGB3,0,2021-03-31,INR,-311770000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2021,2020,SGB1,0,2021-03-31,INR,1355780000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2021,2020,SGB2,0,2021-03-31,INR,6631050000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2021,2020,SGB,0,2021-03-31,INR,8045740000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2021,2020,SGB4,0,2021-03-31,INR,370680000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2020,2019,SGB3,0,2020-03-31,INR,-322600000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2020,2019,SGB4,0,2020-03-31,INR,486210068380
RBI:SG_BOR_RN(1.0),N_A,AFY,2020,2019,SGB2,0,2020-03-31,INR,4974102000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2020,2019,SGB1,0,2020-03-31,INR,109388000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2020,2019,SGB,0,2020-03-31,INR,5247100068380
RBI:SG_BOR_RN(1.0),N_A,AFY,2019,2018,SGB2,0,2019-03-31,INR,3731105618100
RBI:SG_BOR_RN(1.0),N_A,AFY,2019,2018,SGB3,0,2019-03-31,INR,-335740401550
RBI:SG_BOR_RN(1.0),N_A,AFY,2019,2018,SGB4,0,2019-03-31,INR,1146296067510
RBI:SG_BOR_RN(1.0),N_A,AFY,2019,2018,SGB1,0,2019-03-31,INR,86036257880
RBI:SG_BOR_RN(1.0),N_A,AFY,2019,2018,SGB,0,2019-03-31,INR,4627697541940
RBI:SG_BOR_RN(1.0),N_A,AFY,2018,2017,SGB3,0,2018-03-31,INR,-324440000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2018,2017,SGB1,0,2018-03-31,INR,46339747470
RBI:SG_BOR_RN(1.0),N_A,AFY,2018,2017,SGB,0,2018-03-31,INR,4104942659380
RBI:SG_BOR_RN(1.0),N_A,AFY,2018,2017,SGB4,0,2018-03-31,INR,936884789910
RBI:SG_BOR_RN(1.0),N_A,AFY,2018,2017,SGB2,0,2018-03-31,INR,3446158122000
RBI:SG_BOR_RN(1.0),N_A,AFY,2017,2016,SGB3,0,2017-03-31,INR,-319853156000
RBI:SG_BOR_RN(1.0),N_A,AFY,2017,2016,SGB4,0,2017-03-31,INR,2094163512410
RBI:SG_BOR_RN(1.0),N_A,AFY,2017,2016,SGB,0,2017-03-31,INR,5343318203690
RBI:SG_BOR_RN(1.0),N_A,AFY,2017,2016,SGB1,0,2017-03-31,INR,52288237280
RBI:SG_BOR_RN(1.0),N_A,AFY,2017,2016,SGB2,0,2017-03-31,INR,3516719610000
RBI:SG_BOR_RN(1.0),N_A,AFY,2016,2015,SGB,0,2016-03-31,INR,4206704587210
RBI:SG_BOR_RN(1.0),N_A,AFY,2016,2015,SGB1,0,2016-03-31,INR,10390691960
