DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIABLTY_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TTL_LIABLITIES,0,2025-03-31,INR,93933180000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB6,0,2025-03-31,INR,99640000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB4,0,2025-03-31,INR,2936300000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB11,0,2025-03-31,INR,63404710000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB12,0,2025-03-31,INR,1263350000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB3,0,2025-03-31,INR,6648500000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB2,0,2025-03-31,INR,8383800000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB15,0,2025-03-31,INR,2479390000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB5,0,2025-03-31,INR,5896280000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB1,0,2025-03-31,INR,69968670000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB13,0,2025-03-31,INR,-663240000000
RBI:SGL_RN(1.0),N_A,AFY,2025,2024,TLB14,0,2025-03-31,INR,3484470000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB4,0,2024-03-31,INR,2898910000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB11,0,2024-03-31,INR,55198950000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB14,0,2024-03-31,INR,3105840000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB15,0,2024-03-31,INR,2802887000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB5,0,2024-03-31,INR,5837288000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB3,0,2024-03-31,INR,6334248000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB1,0,2024-03-31,INR,62039154000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB13,0,2024-03-31,INR,-331870000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB6,0,2024-03-31,INR,98636000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TTL_LIABLITIES,0,2024-03-31,INR,84198060000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB12,0,2024-03-31,INR,1263347000000
RBI:SGL_RN(1.0),N_A,AFY,2024,2023,TLB2,0,2024-03-31,INR,6989823000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB14,0,2023-03-31,INR,2639599000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TTL_LIABLITIES,0,2023-03-31,INR,75926862000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB15,0,2023-03-31,INR,3132936000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB5,0,2023-03-31,INR,6053766000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB13,0,2023-03-31,INR,-1224000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB11,0,2023-03-31,INR,47787604000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB12,0,2023-03-31,INR,1503255000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB3,0,2023-03-31,INR,6013251000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB4,0,2023-03-31,INR,2882087000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB1,0,2023-03-31,INR,55062170000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB6,0,2023-03-31,INR,99927000000
RBI:SGL_RN(1.0),N_A,AFY,2023,2022,TLB2,0,2023-03-31,INR,5815661000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB13,0,2022-03-31,INR,9744000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TTL_LIABLITIES,0,2022-03-31,INR,68761789000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB15,0,2022-03-31,INR,3494778000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB14,0,2022-03-31,INR,2600040000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB11,0,2022-03-31,INR,42359443000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB5,0,2022-03-31,INR,5416900000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB1,0,2022-03-31,INR,50207444000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB6,0,2022-03-31,INR,78137000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB4,0,2022-03-31,INR,2370723000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB12,0,2022-03-31,INR,1743440000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB2,0,2022-03-31,INR,4922130000000
RBI:SGL_RN(1.0),N_A,AFY,2022,2021,TLB3,0,2022-03-31,INR,5766455000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB13,0,2021-03-31,INR,26910000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB6,0,2021-03-31,INR,51520000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB2,0,2021-03-31,INR,3135110000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB14,0,2021-03-31,INR,2585310000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB5,0,2021-03-31,INR,5314770000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB11,0,2021-03-31,INR,37221100000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB3,0,2021-03-31,INR,5398870000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB1,0,2021-03-31,INR,45544380000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TTL_LIABLITIES,0,2021-03-31,INR,61550000000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB12,0,2021-03-31,INR,1959820000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB15,0,2021-03-31,INR,3751240000000
RBI:SGL_RN(1.0),N_A,AFY,2021,2020,TLB4,0,2021-03-31,INR,2105350000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB6,0,2020-03-31,INR,57371000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB12,0,2020-03-31,INR,2072030000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB11,0,2020-03-31,INR,30588265000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB14,0,2020-03-31,INR,2559765000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TTL_LIABLITIES,0,2020-03-31,INR,53507160000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB2,0,2020-03-31,INR,1608142000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB15,0,2020-03-31,INR,4095970000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB5,0,2020-03-31,INR,5179951000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB3,0,2020-03-31,INR,5260960000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB13,0,2020-03-31,INR,24937000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB1,0,2020-03-31,INR,39340970000000
RBI:SGL_RN(1.0),N_A,AFY,2020,2019,TLB4,0,2020-03-31,INR,2059775000000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB3,0,2019-03-31,INR,4869390000000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB6,0,2019-03-31,INR,67107791000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB15,0,2019-03-31,INR,4420191483000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB12,0,2019-03-31,INR,2172324166420
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TTL_LIABLITIES,0,2019-03-31,INR,47867700000000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB4,0,2019-03-31,INR,2019560814000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB14,0,2019-03-31,INR,2320512144000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB13,0,2019-03-31,INR,15186344999.999998
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB11,0,2019-03-31,INR,25613867992270.004
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB2,0,2019-03-31,INR,1715343200000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB5,0,2019-03-31,INR,4654215284000
RBI:SGL_RN(1.0),N_A,AFY,2019,2018,TLB1,0,2019-03-31,INR,34542080000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB6,0,2018-03-31,INR,40880000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB31,0,2018-03-31,INR,3596450000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB3,0,2018-03-31,INR,4404840000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB13,0,2018-03-31,INR,17750000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB5,0,2018-03-31,INR,3904650000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TTL_LIABLITIES,0,2018-03-31,INR,42924950000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB1,0,2018-03-31,INR,31193030000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB15,0,2018-03-31,INR,4756760000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB14,0,2018-03-31,INR,2119440000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB4,0,2018-03-31,INR,1761430000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB32,0,2018-03-31,INR,808390000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB11,0,2018-03-31,INR,22061070000000
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB12,0,2018-03-31,INR,2238012047540
RBI:SGL_RN(1.0),N_A,AFY,2018,2017,TLB2,0,2018-03-31,INR,1620110000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB4,0,2017-03-31,INR,1226535000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TTL_LIABLITIES,0,2017-03-31,INR,38093570000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB32,0,2017-03-31,INR,730620015160
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB6,0,2017-03-31,INR,44691000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB11,0,2017-03-31,INR,18571102340000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB1,0,2017-03-31,INR,27924050000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB12,0,2017-03-31,INR,2280477910880
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB13,0,2017-03-31,INR,8428732000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB31,0,2017-03-31,INR,3330926984840
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB3,0,2017-03-31,INR,4061550000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB5,0,2017-03-31,INR,3302118000000
RBI:SGL_RN(1.0),N_A,AFY,2017,2016,TLB15,0,2017-03-31,INR,5078335500000
