DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CLASS_PROD_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2013,2012,2013-03-31,IX,124.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2013,2012,2013-03-31,IX,119.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2013,2012,2013-03-31,IX,117.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2013,2012,2013-03-31,IX,109.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2013,2012,2013-03-31,IX,112.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,17.99,FG_CE_WH,AFY,2013,2012,2013-03-31,IX,125.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,8.92,FG_PL_PULSES,AFY,2013,2012,2013-03-31,IX,129.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_CFF,AFY,2013,2012,2013-03-31,IX,110.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.19,NFG_CNUT,AFY,2013,2012,2013-03-31,IX,149.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.41,NFG_COTTON,AFY,2013,2012,2013-03-31,IX,153.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_GUARS,AFY,2013,2012,2013-03-31,IX,183.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.66,NFG_JUTE,AFY,2013,2012,2013-03-31,IX,101.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,13.25,NFG_OILSEEDS,AFY,2013,2012,2013-03-31,IX,107.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.11,NFG_OS_GRDNT,AFY,2013,2012,2013-03-31,IX,63.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,3.6,NFG_OS_RNM,AFY,2013,2012,2013-03-31,IX,112.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.47,NFG_OS_SESM,AFY,2013,2012,2013-03-31,IX,101.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.87,NFG_RBBR,AFY,2013,2012,2013-03-31,IX,100.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2013,2012,2013-03-31,IX,103.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2013,2012,2013-03-31,IX,101.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2013,2012,2013-03-31,IX,139.8
