DATAFLOW,AGI_OBS_TYP_RN,AUDST,BASE_PER,BASE_WEIGHT,CLASS_PROD_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_INDEX_RN(1.0),AOT_AREA,N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2020,2019,2020-03-31,IX,115.9
RBI:AGR_INDEX_RN(1.0),AOT_AREA,N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2020,2019,2020-03-31,IX,107.9
RBI:AGR_INDEX_RN(1.0),AOT_AREA,N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2020,2019,2020-03-31,IX,124.0
RBI:AGR_INDEX_RN(1.0),AOT_PROD,N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2020,2019,2020-03-31,IX,145.5
RBI:AGR_INDEX_RN(1.0),AOT_PROD,N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2020,2019,2020-03-31,IX,139.8
RBI:AGR_INDEX_RN(1.0),AOT_PROD,N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2020,2019,2020-03-31,IX,151.3
RBI:AGR_INDEX_RN(1.0),AOT_YLD,N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2020,2019,2020-03-31,IX,125.6
RBI:AGR_INDEX_RN(1.0),AOT_YLD,N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2020,2019,2020-03-31,IX,129.5
RBI:AGR_INDEX_RN(1.0),AOT_YLD,N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2020,2019,2020-03-31,IX,122.0
RBI:AGR_INDEX_RN(1.0),AOT_AREA,N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2021,2020,2021-03-31,IX,119.9
RBI:AGR_INDEX_RN(1.0),AOT_AREA,N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2021,2020,2021-03-31,IX,110.0
RBI:AGR_INDEX_RN(1.0),AOT_AREA,N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2021,2020,2021-03-31,IX,129.9
RBI:AGR_INDEX_RN(1.0),AOT_PROD,N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2021,2020,2021-03-31,IX,154.1
RBI:AGR_INDEX_RN(1.0),AOT_PROD,N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2021,2020,2021-03-31,IX,147.0
RBI:AGR_INDEX_RN(1.0),AOT_PROD,N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2021,2020,2021-03-31,IX,161.3
RBI:AGR_INDEX_RN(1.0),AOT_YLD,N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2021,2020,2021-03-31,IX,128.6
