DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PROD_RN(1.0),N_A,FDGRNS,AFY,2026,2025,0,2026-03-31,TN,173330000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2026,2025,0,2026-03-31,TN,8345000.0
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2026,2025,0,2026-03-31,TN,475614000
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2026,2025,0,2026-03-31,TN,41414000
RBI:AGR_PROD_RN(1.0),N_A,COTTON,AFY,2026,2025,0,2026-03-31,TN,29215000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2026,2025,0,2026-03-31,TN,124504000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2026,2025,0,2026-03-31,TN,27563000
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2026,2025,0,2026-03-31,TN,14266000
RBI:AGR_PROD_RN(1.0),N_A,CERLS,AFY,2026,2025,0,2026-03-31,TN,165918000
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2026,2025,0,2026-03-31,TN,11093000
RBI:AGR_PROD_RN(1.0),N_A,PUL,AFY,2026,2025,0,2026-03-31,TN,7413000.0
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2025,2024,0,2025-03-31,TN,63921000
RBI:AGR_PROD_RN(1.0),N_A,TOBB,AFY,2025,2024,0,2025-03-31,TN,1037000.0
RBI:AGR_PROD_RN(1.0),N_A,CERLS,AFY,2025,2024,0,2025-03-31,TN,332050000
RBI:AGR_PROD_RN(1.0),N_A,RNM,AFY,2025,2024,0,2025-03-31,TN,12667000
RBI:AGR_PROD_RN(1.0),N_A,WH,AFY,2025,2024,0,2025-03-31,TN,117945000
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2025,2024,0,2025-03-31,TN,454611000
RBI:AGR_PROD_RN(1.0),N_A,FDGRNS,AFY,2025,2024,0,2025-03-31,TN,357732000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2025,2024,0,2025-03-31,TN,42989000
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2025,2024,0,2025-03-31,TN,15268000
RBI:AGR_PROD_RN(1.0),N_A,PUL,AFY,2025,2024,0,2025-03-31,TN,25683000
RBI:AGR_PROD_RN(1.0),N_A,COTTON,AFY,2025,2024,0,2025-03-31,TN,29724000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2025,2024,0,2025-03-31,TN,150184000
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2025,2024,0,2025-03-31,TN,11942000
RBI:AGR_PROD_RN(1.0),N_A,CFF,AFY,2025,2024,0,2025-03-31,TN,363000000
RBI:AGR_PROD_RN(1.0),N_A,TEA,AFY,2025,2024,0,2025-03-31,TN,1315770000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2025,2024,0,2025-03-31,TN,8802000.0
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2024,2023,0,2024-03-31,TN,10180000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2024,2023,0,2024-03-31,TN,9692000.0
RBI:AGR_PROD_RN(1.0),N_A,TEA,AFY,2024,2023,0,2024-03-31,TN,1382030000
RBI:AGR_PROD_RN(1.0),N_A,CFF,AFY,2024,2023,0,2024-03-31,TN,360000000
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2024,2023,0,2024-03-31,TN,56936000
RBI:AGR_PROD_RN(1.0),N_A,COTTON,AFY,2024,2023,0,2024-03-31,TN,32522000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2024,2023,0,2024-03-31,TN,39669000
RBI:AGR_PROD_RN(1.0),N_A,FDGRNS,AFY,2024,2023,0,2024-03-31,TN,332298000
RBI:AGR_PROD_RN(1.0),N_A,TOBB,AFY,2024,2023,0,2024-03-31,TN,866000.0
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2024,2023,0,2024-03-31,TN,13062000
RBI:AGR_PROD_RN(1.0),N_A,CERLS,AFY,2024,2023,0,2024-03-31,TN,308052000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2024,2023,0,2024-03-31,TN,137825000
RBI:AGR_PROD_RN(1.0),N_A,PUL,AFY,2024,2023,0,2024-03-31,TN,24246000
RBI:AGR_PROD_RN(1.0),N_A,RNM,AFY,2024,2023,0,2024-03-31,TN,13259000
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2024,2023,0,2024-03-31,TN,453158000
RBI:AGR_PROD_RN(1.0),N_A,WH,AFY,2024,2023,0,2024-03-31,TN,113292000
RBI:AGR_PROD_RN(1.0),N_A,CFF,AFY,2023,2022,0,2023-03-31,TN,352000000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2023,2022,0,2023-03-31,TN,41355000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2023,2022,0,2023-03-31,TN,9392000.0
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2023,2022,0,2023-03-31,TN,490533000
RBI:AGR_PROD_RN(1.0),N_A,TOBB,AFY,2023,2022,0,2023-03-31,TN,770000.0
RBI:AGR_PROD_RN(1.0),N_A,TEA,AFY,2023,2022,0,2023-03-31,TN,1374970000
RBI:AGR_PROD_RN(1.0),N_A,RNM,AFY,2023,2022,0,2023-03-31,TN,12643000
RBI:AGR_PROD_RN(1.0),N_A,CERLS,AFY,2023,2022,0,2023-03-31,TN,303630000
RBI:AGR_PROD_RN(1.0),N_A,PUL,AFY,2023,2022,0,2023-03-31,TN,26058000
RBI:AGR_PROD_RN(1.0),N_A,FDGRNS,AFY,2023,2022,0,2023-03-31,TN,329687000
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2023,2022,0,2023-03-31,TN,10297000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2023,2022,0,2023-03-31,TN,135755000
RBI:AGR_PROD_RN(1.0),N_A,WH,AFY,2023,2022,0,2023-03-31,TN,110554000
RBI:AGR_PROD_RN(1.0),N_A,COTTON,AFY,2023,2022,0,2023-03-31,TN,33660000
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2023,2022,0,2023-03-31,TN,57319000
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2023,2022,0,2023-03-31,TN,14985000
RBI:AGR_PROD_RN(1.0),N_A,RNM,AFY,2022,2021,0,2022-03-31,TN,11963000
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2022,2021,0,2022-03-31,TN,51101000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2022,2021,0,2022-03-31,TN,129471000
RBI:AGR_PROD_RN(1.0),N_A,CFF,AFY,2022,2021,0,2022-03-31,TN,342000000
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2022,2021,0,2022-03-31,TN,439425000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2022,2021,0,2022-03-31,TN,10149000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2022,2021,0,2022-03-31,TN,37963000
