DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1986,1985,0,1986-03-31,KG_HCT,664.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1986,1985,0,1986-03-31,KG_HCT,1323.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1986,1985,0,1986-03-31,KG_HCT,571.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1986,1985,0,1986-03-31,KG_HCT,197.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1986,1985,0,1986-03-31,KG_HCT,1175.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1986,1985,0,1986-03-31,KG_HCT,719.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1986,1985,0,1986-03-31,KG_HCT,570.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1986,1985,0,1986-03-31,KG_HCT,547.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1986,1985,0,1986-03-31,KG_HCT,1552.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1986,1985,0,1986-03-31,KG_HCT,1524.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1986,1985,0,1986-03-31,KG_HCT,674.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1986,1985,0,1986-03-31,KG_HCT,59889.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1986,1985,0,1986-03-31,KG_HCT,764.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1986,1985,0,1986-03-31,KG_HCT,1641.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1986,1985,0,1986-03-31,KG_HCT,1111.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1986,1985,0,1986-03-31,KG_HCT,2046.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1987,1986,0,1987-03-31,KG_HCT,675.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1987,1986,0,1987-03-31,KG_HCT,1266.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1987,1986,0,1987-03-31,KG_HCT,891.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1987,1986,0,1987-03-31,KG_HCT,169.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1987,1986,0,1987-03-31,KG_HCT,1128.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1987,1986,0,1987-03-31,KG_HCT,841.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1987,1986,0,1987-03-31,KG_HCT,605.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1987,1986,0,1987-03-31,KG_HCT,506.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1987,1986,0,1987-03-31,KG_HCT,1471.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1987,1986,0,1987-03-31,KG_HCT,1454.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1987,1986,0,1987-03-31,KG_HCT,700.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1987,1986,0,1987-03-31,KG_HCT,60444.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1987,1986,0,1987-03-31,KG_HCT,584.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1987,1986,0,1987-03-31,KG_HCT,1508.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1987,1986,0,1987-03-31,KG_HCT,1187.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1987,1986,0,1987-03-31,KG_HCT,1916.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1988,1987,0,1988-03-31,KG_HCT,721.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1988,1987,0,1988-03-31,KG_HCT,1315.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1988,1987,0,1988-03-31,KG_HCT,563.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1988,1987,0,1988-03-31,KG_HCT,168.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1988,1987,0,1988-03-31,KG_HCT,1173.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1988,1987,0,1988-03-31,KG_HCT,855.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1988,1987,0,1988-03-31,KG_HCT,629.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1988,1987,0,1988-03-31,KG_HCT,515.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1988,1987,0,1988-03-31,KG_HCT,1465.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1988,1987,0,1988-03-31,KG_HCT,1274.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1988,1987,0,1988-03-31,KG_HCT,748.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1988,1987,0,1988-03-31,KG_HCT,60006.0
