DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2026,2025,0,2026-03-31,HA,74215000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2026,2025,0,2026-03-31,HA,4721000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2026,2025,0,2026-03-31,HA,36435000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2026,2025,0,2026-03-31,HA,2036000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2026,2025,0,2026-03-31,HA,12353000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2026,2025,0,2026-03-31,HA,19110000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2026,2025,0,2026-03-31,HA,44170000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2026,2025,0,2026-03-31,HA,5693000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2026,2025,0,2026-03-31,HA,546000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2026,2025,0,2026-03-31,HA,10935000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2026,2025,0,2026-03-31,HA,11086000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2026,2025,0,2026-03-31,HA,63280000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2026,2025,0,2026-03-31,HA,19110000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2025,2024,0,2025-03-31,HA,25755000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2025,2024,0,2025-03-31,HA,27720000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2025,2024,0,2025-03-31,HA,11484000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2025,2024,0,2025-03-31,HA,30440000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2025,2024,0,2025-03-31,HA,3069000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2025,2024,0,2025-03-31,HA,574000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2025,2024,0,2025-03-31,HA,51267000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2025,2024,0,2025-03-31,HA,491000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2025,2024,0,2025-03-31,HA,32804000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2025,2024,0,2025-03-31,HA,5762000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2025,2024,0,2025-03-31,HA,8657000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2025,2024,0,2025-03-31,HA,137546000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2025,2024,0,2025-03-31,HA,49579000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2025,2024,0,2025-03-31,HA,109826000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2025,2024,0,2025-03-31,HA,650000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2025,2024,0,2025-03-31,HA,490000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2025,2024,0,2025-03-31,HA,5450000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2025,2024,0,2025-03-31,HA,12952000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2024,2023,0,2024-03-31,HA,104599000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2024,2023,0,2024-03-31,HA,47828000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2024,2023,0,2024-03-31,HA,637000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2024,2023,0,2024-03-31,HA,24938000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2024,2023,0,2024-03-31,HA,31833000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2024,2023,0,2024-03-31,HA,13255000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2024,2023,0,2024-03-31,HA,5740000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2024,2023,0,2024-03-31,HA,3047000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2024,2023,0,2024-03-31,HA,50787000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2024,2023,0,2024-03-31,HA,490000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2024,2023,0,2024-03-31,HA,410000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2024,2023,0,2024-03-31,HA,12688000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2024,2023,0,2024-03-31,HA,630000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2024,2023,0,2024-03-31,HA,132104000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2024,2023,0,2024-03-31,HA,9183000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2024,2023,0,2024-03-31,HA,4707000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2024,2023,0,2024-03-31,HA,27505000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2024,2023,0,2024-03-31,HA,30192000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2023,2022,0,2023-03-31,HA,47832000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2023,2022,0,2023-03-31,HA,4961000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2023,2022,0,2023-03-31,HA,379000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2023,2022,0,2023-03-31,HA,103303000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2023,2022,0,2023-03-31,HA,620000.0
