DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FDGRNS,AFY,1986,1985,0,1986-03-31,RUP_QNTL,1594.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_CE_PC,AFY,1986,1985,0,1986-03-31,RUP_QNTL,142.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_CE_WH,AFY,1986,1985,0,1986-03-31,RUP_QNTL,162.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_MAI,AFY,1986,1985,0,1986-03-31,RUP_QNTL,130.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_ARH,AFY,1986,1985,0,1986-03-31,RUP_QNTL,300.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_GRM,AFY,1986,1985,0,1986-03-31,RUP_QNTL,260.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_MOG,AFY,1986,1985,0,1986-03-31,RUP_QNTL,300.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_URAD,AFY,1986,1985,0,1986-03-31,RUP_QNTL,300.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_COTTON,AFY,1986,1985,0,1986-03-31,RUP_QNTL,535.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_JTE,AFY,1986,1985,0,1986-03-31,RUP_QNTL,215.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_OS_GRDNT_SL,AFY,1986,1985,0,1986-03-31,RUP_QNTL,350.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_OS_RNM,AFY,1986,1985,0,1986-03-31,RUP_QNTL,400.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_OS_SAFFLWR,AFY,1986,1985,0,1986-03-31,RUP_QNTL,400.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_OS_SOY_BL,AFY,1986,1985,0,1986-03-31,RUP_QNTL,250.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_OS_SOY_YL,AFY,1986,1985,0,1986-03-31,RUP_QNTL,275.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_OS_SUNFLWR,AFY,1986,1985,0,1986-03-31,RUP_QNTL,335.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_SGRCN,AFY,1986,1985,0,1986-03-31,RUP_QNTL,16.5
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FDGRNS,AFY,1987,1986,0,1987-03-31,RUP_QNTL,1684.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_CE_PC,AFY,1987,1986,0,1987-03-31,RUP_QNTL,146.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_CE_WH,AFY,1987,1986,0,1987-03-31,RUP_QNTL,166.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_MAI,AFY,1987,1986,0,1987-03-31,RUP_QNTL,132.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_ARH,AFY,1987,1986,0,1987-03-31,RUP_QNTL,320.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_GRM,AFY,1987,1986,0,1987-03-31,RUP_QNTL,280.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_MOG,AFY,1987,1986,0,1987-03-31,RUP_QNTL,320.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,FG_PL_URAD,AFY,1987,1986,0,1987-03-31,RUP_QNTL,320.0
RBI:MIN_SUP_PRICE_RN(1.0),N_A,NFG_COTTON,AFY,1987,1986,0,1987-03-31,RUP_QNTL,540.0
