DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SL_CAT_LAND_USE_INP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1986-03-31,HA,55420000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,CONSM_FERTZ,0,1986-03-31,TN,8474000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,CONSM_PESTC,0,1986-03-31,TN,5200000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,GROSS_IRR_AREA,0,1986-03-31,HA,54280000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,GROSS_SOWN_AREA,0,1986-03-31,HA,178460000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,NET_IRR_AREA,0,1986-03-31,HA,41870000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1986,1985,NET_SOWN_AREA,0,1986-03-31,HA,140900000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1987-03-31,HA,56170000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,CONSM_FERTZ,0,1987-03-31,TN,8645000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,CONSM_PESTC,0,1987-03-31,TN,5000000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,GROSS_IRR_AREA,0,1987-03-31,HA,55760000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,GROSS_SOWN_AREA,0,1987-03-31,HA,176410000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,NET_IRR_AREA,0,1987-03-31,HA,42570000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1987,1986,NET_SOWN_AREA,0,1987-03-31,HA,139580000
