DATAFLOW,AUDST,DIS_OF_COM,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1986,1985,0,1986-03-31,TN,19120000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1986,1985,0,1986-03-31,TN,20230000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1986,1985,0,1986-03-31,TN,9880000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1986,1985,0,1986-03-31,TN,7400000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1986,1985,0,1986-03-31,TN,10340000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1986,1985,0,1986-03-31,TN,20750000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1986,1985,0,1986-03-31,TN,10350000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1986,1985,0,1986-03-31,TN,11720000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1986,1985,0,1986-03-31,TN,10210000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1987,1986,0,1987-03-31,TN,19380000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1987,1986,0,1987-03-31,TN,19700000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1987,1986,0,1987-03-31,TN,9160000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1987,1986,0,1987-03-31,TN,9030000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1987,1986,0,1987-03-31,TN,10040000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1987,1986,0,1987-03-31,TN,19530000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1987,1986,0,1987-03-31,TN,10540000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1987,1986,0,1987-03-31,TN,10350000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1987,1986,0,1987-03-31,TN,9440000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1988,1987,0,1988-03-31,TN,22890000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1988,1987,0,1988-03-31,TN,14780000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1988,1987,0,1988-03-31,TN,6900000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1988,1987,0,1988-03-31,TN,10110000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1988,1987,0,1988-03-31,TN,5910000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1988,1987,0,1988-03-31,TN,9430000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1988,1987,0,1988-03-31,TN,7880000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1988,1987,0,1988-03-31,TN,12780000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1988,1987,0,1988-03-31,TN,3340000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1989,1988,0,1989-03-31,TN,17740000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1989,1988,0,1989-03-31,TN,14270000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1989,1988,0,1989-03-31,TN,7730000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1989,1988,0,1989-03-31,TN,9080000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1989,1988,0,1989-03-31,TN,3860000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1989,1988,0,1989-03-31,TN,6180000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1989,1988,0,1989-03-31,TN,6540000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1989,1988,0,1989-03-31,TN,8660000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1989,1988,0,1989-03-31,TN,2310000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1990,1989,0,1990-03-31,TN,14990000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1990,1989,0,1990-03-31,TN,20870000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1990,1989,0,1990-03-31,TN,11870000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1990,1989,0,1990-03-31,TN,7480000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1990,1989,0,1990-03-31,TN,7060000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1990,1989,0,1990-03-31,TN,10520000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1990,1989,0,1990-03-31,TN,9000000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1990,1989,0,1990-03-31,TN,7510000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1990,1989,0,1990-03-31,TN,3460000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1991,1990,0,1991-03-31,TN,16490000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1991,1990,0,1991-03-31,TN,23740000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1991,1990,0,1991-03-31,TN,12670000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1991,1990,0,1991-03-31,TN,7910000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1991,1990,0,1991-03-31,TN,10210000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1991,1990,0,1991-03-31,TN,15810000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1991,1990,0,1991-03-31,TN,11070000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1991,1990,0,1991-03-31,TN,8580000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1991,1990,0,1991-03-31,TN,5600000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1992,1991,0,1992-03-31,TN,20740000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1992,1991,0,1992-03-31,TN,18000000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1992,1991,0,1992-03-31,TN,10250000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1992,1991,0,1992-03-31,TN,10260000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1992,1991,0,1992-03-31,TN,8860000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1992,1991,0,1992-03-31,TN,11070000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1992,1991,0,1992-03-31,TN,7750000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1992,1991,0,1992-03-31,TN,10480000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1992,1991,0,1992-03-31,TN,2210000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1993,1992,0,1993-03-31,TN,17950000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1993,1992,0,1993-03-31,TN,19430000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1993,1992,0,1993-03-31,TN,13050000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1993,1992,0,1993-03-31,TN,9890000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1993,1992,0,1993-03-31,TN,9930000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1993,1992,0,1993-03-31,TN,12670000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1993,1992,0,1993-03-31,TN,6380000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1993,1992,0,1993-03-31,TN,8060000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1993,1992,0,1993-03-31,TN,2740000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1994,1993,0,1994-03-31,TN,18600000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1994,1993,0,1994-03-31,TN,21150000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1994,1993,0,1994-03-31,TN,14260000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1994,1993,0,1994-03-31,TN,9460000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1994,1993,0,1994-03-31,TN,13550000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1994,1993,0,1994-03-31,TN,20540000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1994,1993,0,1994-03-31,TN,6890000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1994,1993,0,1994-03-31,TN,9140000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1994,1993,0,1994-03-31,TN,7000000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1995,1994,0,1995-03-31,TN,19440000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1995,1994,0,1995-03-31,TN,25580000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1995,1994,0,1995-03-31,TN,13710000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1995,1994,0,1995-03-31,TN,8850000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1995,1994,0,1995-03-31,TN,18080000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1995,1994,0,1995-03-31,TN,26800000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1995,1994,0,1995-03-31,TN,11870000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1995,1994,0,1995-03-31,TN,10590000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1995,1994,0,1995-03-31,TN,8720000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1996,1995,0,1996-03-31,TN,24350000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1996,1995,0,1996-03-31,TN,22380000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1996,1995,0,1996-03-31,TN,10050000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1996,1995,0,1996-03-31,TN,11630000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1996,1995,0,1996-03-31,TN,13060000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1996,1995,0,1996-03-31,TN,20820000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1996,1995,0,1996-03-31,TN,12330000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1996,1995,0,1996-03-31,TN,12720000
