DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2023,2022,N_A,0,2023-03-31,TN,53687820
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2023,2022,N_A,0,2023-03-31,TN,493576540
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2023,2022,N_A,0,2023-03-31,TN,132605070
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2023,2022,N_A,0,2023-03-31,TN,27361880
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2023,2022,N_A,0,2023-03-31,TN,40824800
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2023,2022,N_A,0,2023-03-31,TN,578133860
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2023,2022,N_A,0,2023-03-31,TN,111928490
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2023,2022,N_A,0,2023-03-31,TN,34334380
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2023,2022,N_A,0,2023-03-31,TN,325583220
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2023,2022,N_A,0,2023-03-31,TN,9398140.0
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2022,2021,N_A,0,2022-03-31,TN,107066677.565
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2022,2021,N_A,0,2022-03-31,TN,313687615.08787
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2022,2021,N_A,0,2022-03-31,TN,518607753.63287985
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2022,2021,N_A,0,2022-03-31,TN,50477640.414
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2022,2021,N_A,0,2022-03-31,TN,27290289.720999997
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2022,2021,N_A,0,2022-03-31,TN,37921118.7296
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2022,2021,N_A,0,2022-03-31,TN,439421988.58299994
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2022,2021,N_A,0,2022-03-31,TN,10148934.55556
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2022,2021,N_A,0,2022-03-31,TN,31115711.76472
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2022,2021,N_A,0,2022-03-31,TN,128853006.38786998
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2021,2020,N_A,0,2021-03-31,TN,109493239.04
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2021,2020,N_A,0,2021-03-31,TN,405211673.1862499
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2021,2020,N_A,0,2021-03-31,TN,35940821.56899999
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2021,2020,N_A,0,2021-03-31,TN,35247513.47062001
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2021,2020,N_A,0,2021-03-31,TN,124249030.5127
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2021,2020,N_A,0,2021-03-31,TN,9354427.63889
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2021,2020,N_A,0,2021-03-31,TN,310512752.15543
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2021,2020,N_A,0,2021-03-31,TN,51309133.110829994
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2021,2020,N_A,0,2021-03-31,TN,485754435.86476004
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2021,2020,N_A,0,2021-03-31,TN,25461349.4919
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2020,2019,N_A,0,2020-03-31,TN,23021451.611000005
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2020,2019,N_A,0,2020-03-31,TN,33213759.057359997
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2020,2019,N_A,0,2020-03-31,TN,297269322.85690993
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2020,2019,N_A,0,2020-03-31,TN,370296888.098
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2020,2019,N_A,0,2020-03-31,TN,36048000
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2020,2019,N_A,0,2020-03-31,TN,107775067.462
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2020,2019,N_A,0,2020-03-31,TN,118733481.57150999
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2020,2019,N_A,0,2020-03-31,TN,9876763.78332
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2020,2019,N_A,0,2020-03-31,TN,449435410.93867993
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2020,2019,N_A,0,2020-03-31,TN,47739322.212400004
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2019,2018,N_A,0,2019-03-31,TN,284987918.02071005
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2019,2018,N_A,0,2019-03-31,TN,31516171.1795
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2019,2018,N_A,0,2019-03-31,TN,116354071.47547
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2019,2018,N_A,0,2019-03-31,TN,9850339.62777
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2019,2018,N_A,0,2019-03-31,TN,405198484.273
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2019,2018,N_A,0,2019-03-31,TN,22070753.1962
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2019,2018,N_A,0,2019-03-31,TN,103512908.973
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2019,2018,N_A,0,2019-03-31,TN,43050184.376049995
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2019,2018,N_A,0,2019-03-31,TN,27924000
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2019,2018,N_A,0,2019-03-31,TN,474488995.08027005
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2018,2017,N_A,0,2018-03-31,TN,25412450
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2018,2017,N_A,0,2018-03-31,TN,453878980
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2018,2017,N_A,0,2018-03-31,TN,31453890
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2018,2017,N_A,0,2018-03-31,TN,379709160
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2018,2017,N_A,0,2018-03-31,TN,32683000
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2018,2017,N_A,0,2018-03-31,TN,284806970
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2018,2017,N_A,0,2018-03-31,TN,10032930
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2018,2017,N_A,0,2018-03-31,TN,46960900
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2018,2017,N_A,0,2018-03-31,TN,99785900
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2018,2017,N_A,0,2018-03-31,TN,112647500
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2017,2016,N_A,0,2017-03-31,TN,10962400
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2017,2016,N_A,0,2017-03-31,TN,32477400
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2017,2016,N_A,0,2017-03-31,TN,43763200
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2017,2016,N_A,0,2017-03-31,TN,23124400
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2017,2016,N_A,0,2017-03-31,TN,305970420
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2017,2016,N_A,0,2017-03-31,TN,109582500
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2017,2016,N_A,0,2017-03-31,TN,98422800
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2017,2016,N_A,0,2017-03-31,TN,380676460
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2017,2016,N_A,0,2017-03-31,TN,31266240
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2017,2016,N_A,0,2017-03-31,TN,274892200
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2016,2015,N_A,0,2016-03-31,TN,10523570
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2016,2015,N_A,0,2016-03-31,TN,104295100
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2016,2015,N_A,0,2016-03-31,TN,251326400
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2016,2015,N_A,0,2016-03-31,TN,25241080
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2016,2015,N_A,0,2016-03-31,TN,348191779.5
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2016,2015,N_A,0,2016-03-31,TN,29875000
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2016,2015,N_A,0,2016-03-31,TN,413831429.5
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2016,2015,N_A,0,2016-03-31,TN,38512000
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2016,2015,N_A,0,2016-03-31,TN,92201800
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2016,2015,N_A,0,2016-03-31,TN,16318200
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2015,2014,N_A,0,2015-03-31,TN,26875290
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2015,2014,N_A,0,2015-03-31,TN,16885300
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2015,2014,N_A,0,2015-03-31,TN,244684300
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2015,2014,N_A,0,2015-03-31,TN,100919300
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2015,2014,N_A,0,2015-03-31,TN,86439900
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2015,2014,N_A,0,2015-03-31,TN,40447100
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2015,2014,N_A,0,2015-03-31,TN,362210820
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2015,2014,N_A,0,2015-03-31,TN,431126160
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2015,2014,N_A,0,2015-03-31,TN,30915000
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2015,2014,N_A,0,2015-03-31,TN,11125050
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2014,2013,N_A,0,2014-03-31,TN,18761800
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2014,2013,N_A,0,2014-03-31,TN,425616050
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2014,2013,N_A,0,2014-03-31,TN,95764900
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2014,2013,N_A,0,2014-03-31,TN,100765800
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2014,2013,N_A,0,2014-03-31,TN,31885260
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2014,2013,N_A,0,2014-03-31,TN,40386100
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2014,2013,N_A,0,2014-03-31,TN,351777500
