DATAFLOW,AUDST,FREQ,INDS_PRI_CHAR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1991,1990,0,1991-03-31,PN,30760000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1991,1990,0,1991-03-31,PN,40060000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1991,1990,0,1991-03-31,PN,11840000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1991,1990,0,1991-03-31,INR,100630000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1991,1990,0,1991-03-31,INR,1336480000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1991,1990,0,1991-03-31,PN,209000000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1991,1990,0,1991-03-31,INR,325590000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1991,1990,0,1991-03-31,INR,242930000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1991,1990,0,1991-03-31,INR,148890000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1991,1990,0,1991-03-31,INR,1949130000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1991,1990,0,1991-03-31,PN,2542346000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1991,1990,0,1991-03-31,PN,1949506000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1991,1990,0,1991-03-31,PN,1669430000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_EMP,1991,1990,0,1991-03-31,PS,8162504.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_FACT,1991,1990,0,1991-03-31,PN,110179.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_WRKRS,1991,1990,0,1991-03-31,PS,6307143.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_FIXD_CAPIT_FORMAT,1991,1990,0,1991-03-31,INR,142300000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_INCOME,1991,1990,0,1991-03-31,INR,357410000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_VALUE_ADDED,1991,1990,0,1991-03-31,INR,515150000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,OUT_STND_LNS,1991,1990,0,1991-03-31,INR,1045660000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PFT,1991,1990,0,1991-03-31,INR,113890000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PROD_BY_PROD,1991,1990,0,1991-03-31,PN,2527570000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PRV_OTH_FNDS,1991,1990,0,1991-03-31,INR,21640000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,RENT_PAID,1991,1990,0,1991-03-31,INR,8850000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOTAL_PERSNS_ENGAGED,1991,1990,0,1991-03-31,PS,8279403.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_EMOLUMENTS,1991,1990,0,1991-03-31,INR,205860000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_INPUTS,1991,1990,0,1991-03-31,PN,2089860000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TTL_ADN_STOCK,1991,1990,0,1991-03-31,PN,82660000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,VAL_OF_OUTPUT,1991,1990,0,1991-03-31,INR,2705640000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WGS_TO_WRKRS,1991,1990,0,1991-03-31,INR,131920000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_CAP,1991,1990,0,1991-03-31,INR,425200000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_STAF_WELF_EXPENS,1991,1990,0,1991-03-31,INR,16010000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1992,1991,0,1992-03-31,PN,36660000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1992,1991,0,1992-03-31,PN,27430000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1992,1991,0,1992-03-31,PN,14250000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1992,1991,0,1992-03-31,INR,113410000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1992,1991,0,1992-03-31,INR,1519020000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1992,1991,0,1992-03-31,PN,240560000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1992,1991,0,1992-03-31,INR,384450000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1992,1991,0,1992-03-31,INR,306100000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1992,1991,0,1992-03-31,INR,188120000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1992,1991,0,1992-03-31,INR,2212340000000
