DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_PETR_PRDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2025,2024,PETR_CRD_OIL,0,2025-03-31,TN,243224971.362
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2025,2024,PETR_OIL_LUB,0,2025-03-31,TN,50903017.792
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2024,2023,PETR_OIL_LUB,0,2024-03-31,TN,48692824.964
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2024,2023,PETR_CRD_OIL,0,2024-03-31,TN,234261579.573
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2023,2022,PETR_OIL_LUB,0,2023-03-31,TN,44597873.366
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2023,2022,PETR_CRD_OIL,0,2023-03-31,TN,232700411.979
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2022,2021,PETR_OIL_LUB,0,2022-03-31,TN,39016681.346
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2022,2021,PETR_CRD_OIL,0,2022-03-31,TN,212381622.436
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2021,2020,PETR_CRD_OIL,0,2021-03-31,TN,196460860.945
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2021,2020,PETR_OIL_LUB,0,2021-03-31,TN,43247663.142
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2020,2019,PETR_OIL_LUB,0,2020-03-31,TN,43787610.787
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2020,2019,PETR_CRD_OIL,0,2020-03-31,TN,226954665.516
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2019,2018,PETR_OIL_LUB,0,2019-03-31,TN,33348324.303
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2019,2018,PETR_CRD_OIL,0,2019-03-31,TN,226497616.351
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2018,2017,PETR_CRD_OIL,0,2018-03-31,TN,220432792.031
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2018,2017,PETR_OIL_LUB,0,2018-03-31,TN,35460834.881
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2017,2016,PETR_CRD_OIL,0,2017-03-31,TN,213931829.53
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2017,2016,PETR_OIL_LUB,0,2017-03-31,TN,36287225.948
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2016,2015,PETR_OIL_LUB,0,2016-03-31,TN,29455754.196
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2016,2015,PETR_CRD_OIL,0,2016-03-31,TN,202850491.731
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2015,2014,PETR_OIL_LUB,0,2015-03-31,TN,21301161.557
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2015,2014,PETR_CRD_OIL,0,2015-03-31,TN,189434856.544
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2014,2013,PETR_OIL_LUB,0,2014-03-31,TN,16697004.688
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2014,2013,PETR_CRD_OIL,0,2014-03-31,TN,189238201.783
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2013,2012,PETR_CRD_OIL,0,2013-03-31,TN,184795247.889
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2013,2012,PETR_OIL_LUB,0,2013-03-31,TN,16354119.653
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2012,2011,PETR_CRD_OIL,0,2012-03-31,TN,171729154.097
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2012,2011,PETR_OIL_LUB,0,2012-03-31,TN,15849370.446
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2011,2010,PETR_OIL_LUB,0,2011-03-31,TN,17379441.281
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2011,2010,PETR_CRD_OIL,0,2011-03-31,TN,163595000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2010,2009,PETR_CRD_OIL,0,2010-03-31,TN,159259000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2010,2009,PETR_OIL_LUB,0,2010-03-31,TN,14665000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2009,2008,PETR_OIL_LUB,0,2009-03-31,TN,18585187.415
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2009,2008,PETR_CRD_OIL,0,2009-03-31,TN,132775000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2008,2007,PETR_CRD_OIL,0,2008-03-31,TN,121672000
RBI:IMPT_PETRL_PRD_RN(1.0),N_A,AFY,2008,2007,PETR_OIL_LUB,0,2008-03-31,TN,22462000
