DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,1995,1994,0,1995-03-31,PT,-64.80103526366872
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,1995,1994,0,1995-03-31,PT,-52.17794253938832
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,1995,1994,0,1995-03-31,PT,-55.5422168867547
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,1995,1994,0,1995-03-31,PT,-53.16058107577542
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,1995,1994,0,1995-03-31,PT,-62.88060212110845
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,1995,1994,0,1995-03-31,PT,-45.99694033656298
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,1995,1994,0,1995-03-31,PT,-38.47769028871391
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,1996,1995,0,1996-03-31,PT,11.48897058823529
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,1996,1995,0,1996-03-31,PT,6.3953488372093
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,1996,1995,0,1996-03-31,PT,10.53105310531053
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,1996,1995,0,1996-03-31,PT,7.04107292539816
