DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,1995,1994,1995-03-31,IX,108.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,1995,1994,1995-03-31,IX,103.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,1995,1994,1995-03-31,IX,119.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,1995,1994,1995-03-31,IX,108.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,1995,1994,1995-03-31,IX,117.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,1995,1994,1995-03-31,IX,105.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,1995,1994,1995-03-31,IX,111.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,1996,1995,1996-03-31,IX,121.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,1996,1995,1996-03-31,IX,109.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,1996,1995,1996-03-31,IX,127.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,1996,1995,1996-03-31,IX,117.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,1996,1995,1996-03-31,IX,142.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,1996,1995,1996-03-31,IX,110.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,26.68,OVR_ALL_INDX,AFY,1996,1995,1996-03-31,IX,122.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,1997,1996,1997-03-31,IX,133.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,1997,1996,1997-03-31,IX,116.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_PETR,AFY,1997,1996,1997-03-31,IX,121.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,1997,1996,1997-03-31,IX,121.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,5.13,INF_FN_STL,AFY,1997,1996,1997-03-31,IX,151.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_1993_94,2.0,INF_PETR_REF_PRD,AFY,1997,1996,1997-03-31,IX,117.8
