DATAFLOW,AUDST,BASE_PER,FREQ,INDS_PROD_CLASS_RN,INDX_IP_TYP_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_CHEM_PROD,IIP_SEC_BASED,2001,2000,2001-01-31,IX,178.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_MTL_ALLOY,IIP_SEC_BASED,2001,2000,2001-01-31,IX,152.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BEV_TOB,IIP_SEC_BASED,2001,2000,2001-01-31,IX,207.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_COTT_TEXT,IIP_SEC_BASED,2001,2000,2001-01-31,IX,125.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_ELECTY,IIP_SEC_BASED,2001,2000,2001-01-31,IX,158.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_FD_PRD,IIP_SEC_BASED,2001,2000,2001-01-31,IX,231.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_GEN_INDX,IIP_SEC_BASED,2001,2000,2001-01-31,IX,170.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_JUTE,IIP_SEC_BASED,2001,2000,2001-01-31,IX,108.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_LEATR,IIP_SEC_BASED,2001,2000,2001-01-31,IX,150.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MACH_EQP,IIP_SEC_BASED,2001,2000,2001-01-31,IX,196.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_METL_PRD,IIP_SEC_BASED,2001,2000,2001-01-31,IX,145.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MIN_QUAR,IIP_SEC_BASED,2001,2000,2001-01-31,IX,141.5
