DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,FREQ,INDS_PROD_CLASS_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,39.42,AFY,USE_BAS_GDS,1986,1985,1986-03-31,IX,149.3
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,16.43,AFY,USE_CAP_GDS,1986,1985,1986-03-31,IX,140.7
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,2.55,AFY,USE_CONS_DUR,1986,1985,1986-03-31,IX,212.2
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,23.65,AFY,USE_CONS_GDS,1986,1985,1986-03-31,IX,137.3
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,21.1,AFY,USE_CONS_NON_DUR,1986,1985,1986-03-31,IX,129.5
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,20.509999999999998,AFY,USE_INTL_GDS,1986,1985,1986-03-31,IX,135.7
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,39.42,AFY,USE_BAS_GDS,1987,1986,1987-03-31,IX,163.2
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,16.43,AFY,USE_CAP_GDS,1987,1986,1987-03-31,IX,166.3
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,2.55,AFY,USE_CONS_DUR,1987,1986,1987-03-31,IX,241.3
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,23.65,AFY,USE_CONS_GDS,1987,1986,1987-03-31,IX,145.7
RBI:IIP_MANF_SEC_ANN_RN(1.0),N_A,BY_1980_81,21.1,AFY,USE_CONS_NON_DUR,1987,1986,1987-03-31,IX,134.1
