DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,FREQ,INDS_PROD_CLASS_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2001,2000,2001-01-31,IX,178.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2001,2000,2001-01-31,IX,152.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2001,2000,2001-01-31,IX,207.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2001,2000,2001-01-31,IX,125.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2001,2000,2001-01-31,IX,231.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2001,2000,2001-01-31,IX,108.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2001,2000,2001-01-31,IX,150.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2001,2000,2001-01-31,IX,196.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2001,2000,2001-01-31,IX,145.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2001,2000,2001-01-31,IX,212.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2001,2000,2001-01-31,IX,158.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2001,2000,2001-01-31,IX,163.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2001,2000,2001-01-31,IX,148.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2001,2000,2001-01-31,IX,138.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2001,2000,2001-01-31,IX,191.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2001,2000,2001-01-31,IX,98.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2001,2000,2001-01-31,IX,214.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2001,2000,2001-02-28,IX,165.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2001,2000,2001-02-28,IX,145.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2001,2000,2001-02-28,IX,194.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2001,2000,2001-02-28,IX,118.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2001,2000,2001-02-28,IX,231.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2001,2000,2001-02-28,IX,105.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2001,2000,2001-02-28,IX,159.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2001,2000,2001-02-28,IX,196.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2001,2000,2001-02-28,IX,146.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2001,2000,2001-02-28,IX,223.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2001,2000,2001-02-28,IX,163.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2001,2000,2001-02-28,IX,162.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2001,2000,2001-02-28,IX,156.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2001,2000,2001-02-28,IX,160.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2001,2000,2001-02-28,IX,193.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2001,2000,2001-02-28,IX,103.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2001,2000,2001-02-28,IX,198.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2001,2000,2001-03-31,IX,184.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2001,2000,2001-03-31,IX,156.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2001,2000,2001-03-31,IX,193.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2001,2000,2001-03-31,IX,127.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2001,2000,2001-03-31,IX,201.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2001,2000,2001-03-31,IX,108.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2001,2000,2001-03-31,IX,152.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2001,2000,2001-03-31,IX,215.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2001,2000,2001-03-31,IX,157.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2001,2000,2001-03-31,IX,256.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2001,2000,2001-03-31,IX,199.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2001,2000,2001-03-31,IX,169.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2001,2000,2001-03-31,IX,180.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2001,2000,2001-03-31,IX,164.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2001,2000,2001-03-31,IX,220.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2001,2000,2001-03-31,IX,103.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2001,2000,2001-03-31,IX,221.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2002,2001,2001-04-30,IX,170.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2002,2001,2001-04-30,IX,151.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2002,2001,2001-04-30,IX,212.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2002,2001,2001-04-30,IX,125.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2002,2001,2001-04-30,IX,156.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2002,2001,2001-04-30,IX,106.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2002,2001,2001-04-30,IX,153.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2002,2001,2001-04-30,IX,181.9
