DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_PETR_PRDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2025,2024,PETR_CRD_OIL,0,2025-03-31,TN,26490000
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2025,2024,PETR_OIL_LUB,0,2025-03-31,TN,283770648.653
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2024,2023,PETR_CRD_OIL,0,2024-03-31,TN,27168366.32
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2024,2023,PETR_OIL_LUB,0,2024-03-31,TN,276057987.799
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2023,2022,PETR_OIL_LUB,0,2023-03-31,TN,266539146.814
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2023,2022,PETR_CRD_OIL,0,2023-03-31,TN,27827358.83
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2022,2021,PETR_CRD_OIL,0,2022-03-31,TN,28447655.84
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2022,2021,PETR_OIL_LUB,0,2022-03-31,TN,254305573.968
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2021,2020,PETR_OIL_LUB,0,2021-03-31,TN,233513032.462
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2021,2020,PETR_CRD_OIL,0,2021-03-31,TN,29121349.444
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2020,2019,PETR_CRD_OIL,0,2020-03-31,TN,30523325.683
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2020,2019,PETR_OIL_LUB,0,2020-03-31,TN,262940289.5
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2019,2018,PETR_CRD_OIL,0,2019-03-31,TN,32474461.315
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2019,2018,PETR_OIL_LUB,0,2019-03-31,TN,262356219.105
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2018,2017,PETR_CRD_OIL,0,2018-03-31,TN,34045255.369
RBI:PROD_PETRL_PRD_RN(1.0),N_A,AFY,2018,2017,PETR_OIL_LUB,0,2018-03-31,TN,254288502.627
