DATAFLOW,AUDST,BASE_PER,FREQ,INDS_WI_GDS_CAT,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_ARTF_LEATHR_CLTH,1986,1985,0,1986-03-31,M,7700.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_AUT_ANC_PRTS,1986,1985,0,1986-03-31,INR,1924.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_BAL_ROL_NDL,1986,1985,0,1986-03-31,PN,617.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_BEER,1986,1985,0,1986-03-31,LT,868.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_BOIL,1986,1985,0,1986-03-31,INR,1249.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_BRDG_CVRD_WAG,1986,1985,0,1986-03-31,PN,1456.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_BRDG_PSGR_CARG,1986,1985,0,1986-03-31,PN,579.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_CIG,1986,1985,0,1986-03-31,PN,204.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_COMP_TRAC,1986,1985,0,1986-03-31,PN,2046.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_CTTN_CLTH,1986,1985,0,1986-03-31,MQ,6759.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_DSL_ENG,1986,1985,0,1986-03-31,PN,13100.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_ELEC_GEN,1986,1985,0,1986-03-31,INR,338.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_ELEC_MTR_SSI,1986,1985,0,1986-03-31,PN,210.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_MACH_TOOLS,1986,1985,0,1986-03-31,INR,378.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_MTR_STR_CON,1986,1985,0,1986-03-31,PN,1179.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_PENCILLIN,1986,1985,0,1986-03-31,MMU,1398.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_PPR_BOARDS,1986,1985,0,1986-03-31,TN,2603.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_RLWY_LOC,1986,1985,0,1986-03-31,PN,197.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_SHP_BLDG_REP,1986,1985,0,1986-03-31,INR,76.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_SOAP,1986,1985,0,1986-03-31,TN,931.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_SUGAR,1986,1985,0,1986-03-31,TN,657.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_TEA,1986,1985,0,1986-03-31,TN,3546.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_TEL_INST,1986,1985,0,1986-03-31,PN,5320.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_TETRACYC,1986,1985,0,1986-03-31,TN,25400.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_TEXT_MACH,1986,1985,0,1986-03-31,INR,189.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_VANASPATI_OTH,1986,1985,0,1986-03-31,TN,236.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,CGI_WHT_FLOUR_MAIDA,1986,1985,0,1986-03-31,TN,238.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,IGI_BOLTS_NUTS,1986,1985,0,1986-03-31,TN,757.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,IGI_COT_YRN,1986,1985,0,1986-03-31,TN,39877.0
RBI:PROD_SEL_INDS_RN(1.0),N_A,BY_1972_73,AFY,IGI_GIANT_TYR,1986,1985,0,1986-03-31,PN,81.0
