DATAFLOW,AUDST,BASE_PER,CLASS_EXP_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,228860000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,84920000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,-423170000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,-49860000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,528300000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,149510000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,8940410000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,2813300000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,1050890000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,317120000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,1756210000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,575240000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,618010000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,217540000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,6612490000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,2017830000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,272760000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,83140000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,-592760000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_DISCP,AFY,MRKT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,-190380000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2004_05,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,634850000000
