DATAFLOW,AUDST,BASE_PER,COMP_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2026,2025,0,2026-03-31,INR,2828368922177918.5
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2025,2024,0,2025-03-31,INR,2614890483273094.5
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2024,2023,0,2024-03-31,INR,2419606469149522.5
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2023,2022,0,2023-03-31,INR,2200754320517905.8
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2022,2021,0,2022-03-31,INR,1959317176327809
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2021,2020,0,2021-03-31,INR,1673917869890411.2
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2020,2019,0,2020-03-31,INR,1739493008632055.8
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,1662574788303491
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,550793340000000
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,1520782334614820
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,521528710000000
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,1387198803805820
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,480536540000000
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,441587540000000
RBI:ANN_GDP_FACT_CST_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,1267510911771420
