DATAFLOW,AUDST,FIN_LIB_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2024,2023,0,2024-03-31,INR,12080000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2024,2023,0,2024-03-31,INR,3340000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2024,2023,0,2024-03-31,INR,18790000000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2024,2023,0,2024-03-31,INR,18774580000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2023,2022,0,2023-03-31,INR,12523130000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2023,2022,0,2023-03-31,INR,8180000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2023,2022,0,2023-03-31,INR,3433540000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2023,2022,0,2023-03-31,INR,15964850000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2022,2021,0,2022-03-31,INR,2794136000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2022,2021,0,2022-03-31,INR,7023510861000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2022,2021,0,2022-03-31,INR,8992702357000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2022,2021,0,2022-03-31,INR,1966397360000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2021,2020,0,2021-03-31,INR,7373499293900
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2021,2020,0,2021-03-31,INR,-6016867000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2021,2020,0,2021-03-31,INR,6412724024000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2021,2020,0,2021-03-31,INR,966792136900
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,7746930000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,5099580000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2020,2019,0,2020-03-31,INR,2647350000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,7712450000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,6045110000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,5460000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2019,2018,0,2019-03-31,INR,1661880000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,2249600000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,2220000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,5255170000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,7506990000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,-290000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,4686480000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,1228660000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,3458110000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,2694170000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,3853880000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,1155760000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,3950000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,3768320000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,941960000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,1930000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,2824430000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,6650000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,3586790000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,3023360000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,556780000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,215100000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,1680000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,3087470000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,3304250000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,3010000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,2725090000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,2901200000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,173100000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,2690100000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,2600000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,2779750000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,88040000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,-990000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,-1470000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,1944430000000
