DATAFLOW,AUDST,BASE_PER,CAT_NSDP_RN,CLASS_INDS_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,ANN,0,2021-03-31,INR,2207808397
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,ANP,0,2021-03-31,INR,154355717400
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,ARP,0,2021-03-31,INR,8197300000
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,ASM,0,2021-03-31,INR,21363400000
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,BIH,0,2021-03-31,INR,52788612930
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,CHD,0,2021-03-31,INR,3990100000
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,CHHT,0,2021-03-31,INR,175848500000
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,DEL,0,2021-03-31,INR,87465014750
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,GOA,0,2021-03-31,INR,24669661320
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,GUJ,0,2021-03-31,INR,269565935200
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,HAR,0,2021-03-31,INR,17108074170
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,HP,0,2021-03-31,INR,43287928190
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,JHK,0,2021-03-31,INR,21242800000
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,JNK,0,2021-03-31,INR,81247593540
RBI:COMP_ECO_ACT_NSDP_FACT_CST_RN(1.0),N_A,BY_2011_12,NSDP_ECN_ACTV,CLIN_ELCTY_GAS_WTR_OTH,AFY,CNST_PRC,2021,2020,KAR,0,2021-03-31,INR,118978525800
