DATAFLOW,AUDST,BASE_PER,FREQ,GNCF_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CNST_PRC,1986,1985,0,1986-03-31,INR,272760000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CURR_PRC,1986,1985,0,1986-03-31,INR,83140000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CNST_PRC,1986,1985,0,1986-03-31,INR,2245670000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CURR_PRC,1986,1985,0,1986-03-31,INR,596480000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GFCF,CNST_PRC,1986,1985,0,1986-03-31,INR,2292150000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GFCF,CURR_PRC,1986,1985,0,1986-03-31,INR,596400000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_NDCF,CNST_PRC,1986,1985,0,1986-03-31,INR,1297120000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_NDCF,CURR_PRC,1986,1985,0,1986-03-31,INR,345110000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CNST_PRC,1987,1986,0,1987-03-31,INR,212030000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CURR_PRC,1987,1986,0,1987-03-31,INR,65320000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CNST_PRC,1987,1986,0,1987-03-31,INR,2326230000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CURR_PRC,1987,1986,0,1987-03-31,INR,650480000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GFCF,CNST_PRC,1987,1986,0,1987-03-31,INR,2510200000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GFCF,CURR_PRC,1987,1986,0,1987-03-31,INR,694760000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_NDCF,CNST_PRC,1987,1986,0,1987-03-31,INR,1320100000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_NDCF,CURR_PRC,1987,1986,0,1987-03-31,INR,367100000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CNST_PRC,1988,1987,0,1988-03-31,INR,60090000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CURR_PRC,1988,1987,0,1988-03-31,INR,20190000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CNST_PRC,1988,1987,0,1988-03-31,INR,2632650000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CURR_PRC,1988,1987,0,1988-03-31,INR,805320000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GFCF,CNST_PRC,1988,1987,0,1988-03-31,INR,2660720000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GFCF,CURR_PRC,1988,1987,0,1988-03-31,INR,812040000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_NDCF,CNST_PRC,1988,1987,0,1988-03-31,INR,1555200000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_NDCF,CURR_PRC,1988,1987,0,1988-03-31,INR,473400000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CNST_PRC,1989,1988,0,1989-03-31,INR,241710000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_CHG_STOCKS,CURR_PRC,1989,1988,0,1989-03-31,INR,85430000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CNST_PRC,1989,1988,0,1989-03-31,INR,2956540000000
RBI:GROSS_NET_CAP_FRM_RN(1.0),N_A,BY_2004_05,AFY,GNCF_GDCF,CURR_PRC,1989,1988,0,1989-03-31,INR,997960000000
