DATAFLOW,AUDST,BASE_PER,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,ANN,0,1986-03-31,INR,630400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,ANP,0,1986-03-31,INR,93029599999.99998
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,ARP,0,1986-03-31,INR,1540400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,ASM,0,1986-03-31,INR,29917900000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,BIH,0,1986-03-31,INR,82929200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,DEL,0,1986-03-31,INR,35204500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,GOA,0,1986-03-31,INR,3376300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,GUJ,0,1986-03-31,INR,82143400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,HAR,0,1986-03-31,INR,41810800000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,HP,0,1986-03-31,INR,8313300000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,JNK,0,1986-03-31,INR,12298400000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,KAR,0,1986-03-31,INR,67333000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,KER,0,1986-03-31,INR,40863600000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,MAH,0,1986-03-31,INR,187142500000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,MANI,0,1986-03-31,INR,2561700000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,MEG,0,1986-03-31,INR,2143200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,MP,0,1986-03-31,INR,81719000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,NAGA,0,1986-03-31,INR,1542200000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,ORI,0,1986-03-31,INR,41268000000
RBI:NET_SDP_FAC_CST_RN(1.0),N_A,BY_1980_81,AFY,CNST_PRC,1986,1985,PUN,0,1986-03-31,INR,59237200000
