DATAFLOW,AUDST,BASE_PER,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2025,2024,N_A,0,2025-03-31,INR,6783431.186256
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2024,2023,N_A,0,2024-03-31,INR,12690521.081841432
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2023,2022,N_A,0,2023-03-31,INR,11616117.467643794
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2022,2021,N_A,0,2022-03-31,INR,10547883.69675753
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2021,2020,N_A,0,2021-03-31,INR,9451704.01015897
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2020,2019,N_A,0,2020-03-31,INR,9997133.871951377
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2019,2018,N_A,0,2019-03-31,INR,9501475.338706074
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2018,2017,N_A,0,2018-03-31,INR,8872995.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2017,2016,N_A,0,2017-03-31,INR,8123209.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2016,2015,N_A,0,2016-03-31,INR,7411932.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2015,2014,N_A,0,2015-03-31,INR,6794107.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2014,2013,N_A,0,2014-03-31,INR,6257224.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2013,2012,N_A,0,2013-03-31,INR,5824800.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2011_12,AFY,N_A,2012,2011,N_A,0,2012-03-31,INR,5497290.0
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2012,2011,N_A,0,2012-03-31,INR,4036332.2798510008
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2011,2010,N_A,0,2011-03-31,INR,3668433.403589999
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2010,2009,N_A,0,2010-03-31,INR,3279001.6257399996
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2009,2008,N_A,0,2009-03-31,INR,2919460.95019
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2008,2007,N_A,0,2008-03-31,INR,2640456.436276
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2007,2006,N_A,0,2007-03-31,INR,2398628.095298001
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2006,2005,N_A,0,2006-03-31,INR,2169695.0409670006
RBI:PER_CAP_NET_SDP_RN(1.0),N_A,BY_2004_05,AFY,N_A,2005,2004,N_A,0,2005-03-31,INR,1972876.2232140002
