DATAFLOW,AUDST,BASE_PER,CLASS_ECNY_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,992410000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,782270000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,443720000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,348520000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,191110000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,140760000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,89380000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,77110000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,432530000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,349400000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,3561930000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,2900200000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,601400000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,532060000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,83910000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,62310000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-06-30,INR,727470000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-06-30,INR,607760000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,739740000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,607760000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,438130000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,355190000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,193660000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,146310000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,88750000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,76570000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,437010000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,362370000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,3284250000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,2750670000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,600010000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,532850000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,81610000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,65020000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-09-30,INR,705340000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-09-30,INR,604600000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,1369570000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,1142970000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,456560000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,373580000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,198270000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,150340000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,92810000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,80070000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,442560000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,368640000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,4088570000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,3445010000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,616900000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,549640000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,90900000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1996-12-31,INR,72090000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1997,1996,0,1996-12-31,INR,821000000000
