DATAFLOW,AUDST,BASE_PER,CLASF_SEC_GDP_RN,DIFF_SEC_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2024,2023,0,2024-03-31,INR,-2859340000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2024,2023,0,2024-03-31,INR,3764580000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2024,2023,0,2024-03-31,INR,4540130000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2024,2023,0,2024-03-31,INR,7549130000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2024,2023,0,2024-03-31,INR,33289470000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2024,2023,0,2024-03-31,INR,4193980000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2024,2023,0,2024-03-31,INR,38445150000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2024,2023,0,2024-03-31,INR,3355160000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2024,2023,0,2024-03-31,INR,34306400000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2024,2023,0,2024-03-31,INR,54612590000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2024,2023,0,2024-03-31,INR,28749340000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2024,2023,0,2024-03-31,INR,18789990000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2024,2023,0,2024-03-31,INR,70740000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2024,2023,0,2024-03-31,INR,92591860000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2024,2023,0,2024-03-31,INR,4123240000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2024,2023,0,2024-03-31,INR,775560000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2024,2023,0,2024-03-31,INR,651040000000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2023,2022,0,2023-03-31,INR,674169565978.84
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2023,2022,0,2023-03-31,INR,50104745269057.9
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2023,2022,0,2023-03-31,INR,645040733540.11
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2023,2022,0,2023-03-31,INR,36148508775192.2
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2023,2022,0,2023-03-31,INR,67231100000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2023,2022,0,2023-03-31,INR,2644504924917.25
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2023,2022,0,2023-03-31,INR,7698213426883.81
