DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SEC_NBR_PRS_LIV_REG_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1986,1985,NBR_PRS_LIV_REG,0,1986-03-31,PS,26270000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1986,1985,SEC_PRV,0,1986-03-31,PS,7370000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1986,1985,SEC_PUB,0,1986-03-31,PS,17680000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1987,1986,NBR_PRS_LIV_REG,0,1987-03-31,PS,30130000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1987,1986,SEC_PRV,0,1987-03-31,PS,7390000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1987,1986,SEC_PUB,0,1987-03-31,PS,18240000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1988,1987,NBR_PRS_LIV_REG,0,1988-03-31,PS,30250000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1988,1987,SEC_PRV,0,1988-03-31,PS,7390000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1988,1987,SEC_PUB,0,1988-03-31,PS,18320000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1989,1988,NBR_PRS_LIV_REG,0,1989-03-31,PS,30050000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1989,1988,SEC_PRV,0,1989-03-31,PS,7450000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1989,1988,SEC_PUB,0,1989-03-31,PS,18510000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1990,1989,NBR_PRS_LIV_REG,0,1990-03-31,PS,32780000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1990,1989,SEC_PRV,0,1990-03-31,PS,7580000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1990,1989,SEC_PUB,0,1990-03-31,PS,18770000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1991,1990,NBR_PRS_LIV_REG,0,1991-03-31,PS,34630000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1991,1990,SEC_PRV,0,1991-03-31,PS,7680000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1991,1990,SEC_PUB,0,1991-03-31,PS,19060000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1992,1991,NBR_PRS_LIV_REG,0,1992-03-31,PS,36300000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1992,1991,SEC_PRV,0,1992-03-31,PS,7850000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1992,1991,SEC_PUB,0,1992-03-31,PS,19210000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1993,1992,NBR_PRS_LIV_REG,0,1993-03-31,PS,36760000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1993,1992,SEC_PRV,0,1993-03-31,PS,7850000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1993,1992,SEC_PUB,0,1993-03-31,PS,19330000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1994,1993,NBR_PRS_LIV_REG,0,1994-03-31,PS,36280000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1994,1993,SEC_PRV,0,1994-03-31,PS,7930000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1994,1993,SEC_PUB,0,1994-03-31,PS,19450000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1995,1994,NBR_PRS_LIV_REG,0,1995-03-31,PS,36690000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1995,1994,SEC_PRV,0,1995-03-31,PS,8060000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1995,1994,SEC_PUB,0,1995-03-31,PS,19470000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1996,1995,NBR_PRS_LIV_REG,0,1996-03-31,PS,36740000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1996,1995,SEC_PRV,0,1996-03-31,PS,8510000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1996,1995,SEC_PUB,0,1996-03-31,PS,19430000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1997,1996,NBR_PRS_LIV_REG,0,1997-03-31,PS,37430000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1997,1996,SEC_PRV,0,1997-03-31,PS,8690000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1997,1996,SEC_PUB,0,1997-03-31,PS,19560000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1998,1997,NBR_PRS_LIV_REG,0,1998-03-31,PS,39140000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1998,1997,SEC_PRV,0,1998-03-31,PS,8750000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1998,1997,SEC_PUB,0,1998-03-31,PS,19420000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1999,1998,NBR_PRS_LIV_REG,0,1999-03-31,PS,40090000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1999,1998,SEC_PRV,0,1999-03-31,PS,8700000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,1999,1998,SEC_PUB,0,1999-03-31,PS,19410000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2000,1999,NBR_PRS_LIV_REG,0,2000-03-31,PS,40370000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2000,1999,SEC_PRV,0,2000-03-31,PS,8650000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2000,1999,SEC_PUB,0,2000-03-31,PS,19310000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2001,2000,NBR_PRS_LIV_REG,0,2001-03-31,PS,41340000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2001,2000,SEC_PRV,0,2001-03-31,PS,8650000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2001,2000,SEC_PUB,0,2001-03-31,PS,19140000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2002,2001,NBR_PRS_LIV_REG,0,2002-03-31,PS,42000000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2002,2001,SEC_PRV,0,2002-03-31,PS,8430000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2002,2001,SEC_PUB,0,2002-03-31,PS,18770000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2003,2002,NBR_PRS_LIV_REG,0,2003-03-31,PS,41170000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2003,2002,SEC_PRV,0,2003-03-31,PS,8420000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2003,2002,SEC_PUB,0,2003-03-31,PS,18580000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2004,2003,NBR_PRS_LIV_REG,0,2004-03-31,PS,41390000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2004,2003,SEC_PRV,0,2004-03-31,PS,8250000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2004,2003,SEC_PUB,0,2004-03-31,PS,18200000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2005,2004,NBR_PRS_LIV_REG,0,2005-03-31,PS,40460000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2005,2004,SEC_PRV,0,2005-03-31,PS,8450000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2005,2004,SEC_PUB,0,2005-03-31,PS,18010000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2006,2005,NBR_PRS_LIV_REG,0,2006-03-31,PS,39350000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2006,2005,SEC_PRV,0,2006-03-31,PS,8810000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2006,2005,SEC_PUB,0,2006-03-31,PS,18190000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2007,2006,NBR_PRS_LIV_REG,0,2007-03-31,PS,41470000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2007,2006,SEC_PRV,0,2007-03-31,PS,9270000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2007,2006,SEC_PUB,0,2007-03-31,PS,18000000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2008,2007,NBR_PRS_LIV_REG,0,2008-03-31,PS,39970000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2008,2007,SEC_PRV,0,2008-03-31,PS,9880000.0
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2008,2007,SEC_PUB,0,2008-03-31,PS,17670000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2009,2008,NBR_PRS_LIV_REG,0,2009-03-31,PS,39110000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2009,2008,SEC_PRV,0,2009-03-31,PS,10380000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2009,2008,SEC_PUB,0,2009-03-31,PS,17800000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2010,2009,NBR_PRS_LIV_REG,0,2010-03-31,PS,38150000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2010,2009,SEC_PRV,0,2010-03-31,PS,10850000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2010,2009,SEC_PUB,0,2010-03-31,PS,17860000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2011,2010,NBR_PRS_LIV_REG,0,2011-03-31,PS,38830000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2011,2010,SEC_PRV,0,2011-03-31,PS,11450000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2011,2010,SEC_PUB,0,2011-03-31,PS,17550000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2012,2011,NBR_PRS_LIV_REG,0,2012-03-31,PS,40170000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2012,2011,SEC_PRV,0,2012-03-31,PS,11970000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2012,2011,SEC_PUB,0,2012-03-31,PS,17610000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2013,2012,NBR_PRS_LIV_REG,0,2013-03-31,PS,44790000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2014,2013,NBR_PRS_LIV_REG,0,2014-03-31,PS,46800000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2015,2014,NBR_PRS_LIV_REG,0,2015-03-31,PS,48260000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2016,2015,NBR_PRS_LIV_REG,0,2016-03-31,PS,43500000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2017,2016,NBR_PRS_LIV_REG,0,2017-03-31,PS,43376000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2018,2017,NBR_PRS_LIV_REG,0,2018-03-31,PS,42440000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2019,2018,NBR_PRS_LIV_REG,0,2019-03-31,PS,42120000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2020,2019,NBR_PRS_LIV_REG,0,2020-03-31,PS,42410000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2021,2020,NBR_PRS_LIV_REG,0,2021-03-31,PS,42830000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2022,2021,NBR_PRS_LIV_REG,0,2022-03-31,PS,44070000
RBI:SEC_WIS_EMP_RN(1.0),N_A,AFY,2023,2022,NBR_PRS_LIV_REG,0,2023-03-31,PS,45720000
