DATAFLOW,AUDST,BASE_PER,CLS_SEC_GCF_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2024,2023,0,2024-03-31,INR,255139743774666.06
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2023,2022,0,2023-03-31,INR,229584244059542.5
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2022,2021,0,2022-03-31,INR,189136479461740.5
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2021,2020,0,2021-03-31,INR,140497836469178.1
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2020,2019,0,2020-03-31,INR,154032387045046.8
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2019,2018,0,2019-03-31,INR,156756798776076.8
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2018,2017,0,2018-03-31,INR,133947310000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2017,2016,0,2017-03-31,INR,127215770000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2016,2015,0,2016-03-31,INR,116151880000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2015,2014,0,2015-03-31,INR,110803561099990
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2014,2013,0,2014-03-31,INR,100525373014260
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2013,2012,0,2013-03-31,INR,101728358185340
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2013,2012,0,2013-03-31,INR,111504490000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2012,2011,0,2012-03-31,INR,106509550000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2011_12,N_A,AFY,N_A,2012,2011,0,2012-03-31,INR,90945569377770
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2011,2010,0,2011-03-31,INR,96026750000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2010,2009,0,2010-03-31,INR,81557750000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2009,2008,0,2009-03-31,INR,71204460000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2008,2007,0,2008-03-31,INR,69996190000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2007,2006,0,2007-03-31,INR,58070330000000
RBI:SEC_WIS_CAP_FOM_RN(1.0),N_A,BY_2004_05,N_A,AFY,N_A,2006,2005,0,2006-03-31,INR,48977750000000
