DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,ANNUAL_AVE,1986,1985,1986-03-31,IX,546.3333333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,YR_END,1986,1985,1986-03-31,IX,556.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,ANNUAL_AVE,1986,1985,1986-03-31,IX,502.25
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,YR_END,1986,1985,1986-03-31,IX,514.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,ANNUAL_AVE,1986,1985,1986-03-31,IX,590.6666666666666
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,YR_END,1986,1985,1986-03-31,IX,600.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,ANNUAL_AVE,1986,1985,1986-03-31,IX,187.5
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,YR_END,1986,1985,1986-03-31,IX,192.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,ANNUAL_AVE,1986,1985,1986-03-31,IX,501.8333333333333
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,YR_END,1986,1985,1986-03-31,IX,515.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,ANNUAL_AVE,1987,1986,1987-03-31,IX,572.0833333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,YR_END,1987,1986,1987-03-31,IX,573.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,ANNUAL_AVE,1987,1986,1987-03-31,IX,524.5833333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,YR_END,1987,1986,1987-03-31,IX,532.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,ANNUAL_AVE,1987,1986,1987-03-31,IX,618.1666666666666
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,YR_END,1987,1986,1987-03-31,IX,616.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,ANNUAL_AVE,1987,1986,1987-03-31,IX,193.16666666666666
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,YR_END,1987,1986,1987-03-31,IX,194.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,ANNUAL_AVE,1987,1986,1987-03-31,IX,535.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,YR_END,1987,1986,1987-03-31,IX,566.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,ANNUAL_AVE,1988,1987,1988-03-31,IX,628.75
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,YR_END,1988,1987,1988-03-31,IX,658.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,ANNUAL_AVE,1988,1987,1988-03-31,IX,551.0833333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,YR_END,1988,1987,1988-03-31,IX,574.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,ANNUAL_AVE,1988,1987,1988-03-31,IX,681.3333333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,YR_END,1988,1987,1988-03-31,IX,713.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,ANNUAL_AVE,1988,1987,1988-03-31,IX,196.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,YR_END,1988,1987,1988-03-31,IX,196.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,ANNUAL_AVE,1988,1987,1988-03-31,IX,604.25
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,YR_END,1988,1987,1988-03-31,IX,643.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,ANNUAL_AVE,1989,1988,1989-03-31,IX,708.4166666666666
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,YR_END,1989,1988,1989-03-31,IX,729.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,ANNUAL_AVE,1989,1988,1989-03-31,IX,596.25
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,YR_END,1989,1988,1989-03-31,IX,612.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,ANNUAL_AVE,1989,1988,1989-03-31,IX,774.0833333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,YR_END,1989,1988,1989-03-31,IX,795.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,ANNUAL_AVE,1989,1988,1989-03-31,IX,197.83333333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,YR_END,1989,1988,1989-03-31,IX,199.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,ANNUAL_AVE,1989,1988,1989-03-31,IX,661.25
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,YR_END,1989,1988,1989-03-31,IX,699.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,ANNUAL_AVE,1990,1989,1990-03-31,IX,746.5
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,YR_END,1990,1989,1990-03-31,IX,736.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,ANNUAL_AVE,1990,1989,1990-03-31,IX,648.5
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,YR_END,1990,1989,1990-03-31,IX,685.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,ANNUAL_AVE,1990,1989,1990-03-31,IX,810.5
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FG,AFY,YR_END,1990,1989,1990-03-31,IX,789.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,ANNUAL_AVE,1990,1989,1990-03-31,IX,199.08333333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_FL,AFY,YR_END,1990,1989,1990-03-31,IX,199.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,ANNUAL_AVE,1990,1989,1990-03-31,IX,739.6666666666666
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_MS,AFY,YR_END,1990,1989,1990-03-31,IX,793.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,ANNUAL_AVE,1991,1990,1991-03-31,IX,802.9166666666666
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG,AFY,YR_END,1991,1990,1991-03-31,IX,858.0
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,ANNUAL_AVE,1991,1990,1991-03-31,IX,724.8333333333334
RBI:CPI_AGR_AVG_YRND_RN(1.0),N_A,BY_1960-61,C_GIAG_CBF,AFY,YR_END,1991,1990,1991-03-31,IX,751.0
