DATAFLOW,AUDST,BASE_PER,COVERAGE_GEO_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1986,1985,AL,1986-03-31,PT,4.778647783424
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1986,1985,IW,1986-03-31,PT,6.52921
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1986,1985,IW_FG,1986-03-31,PT,4.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1986,1985,AL,1986-03-31,PT,546.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1986,1985,IW,1986-03-31,PT,620.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1986,1985,IW_FGB,1986-03-31,PT,128.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1986,1985,IW,1986-03-31,PT,6.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1986,1985,IW_FG,1986-03-31,PT,4.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1986,1985,IW,1986-03-31,PT,126.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1986,1985,IW_FGB,1986-03-31,PT,128.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1987,1986,AL,1987-03-31,PT,4.71323978323
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1987,1986,IW,1987-03-31,PT,8.70968
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1987,1986,IW_FG,1987-03-31,PT,10.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1987,1986,AL,1987-03-31,PT,572.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1987,1986,IW,1987-03-31,PT,674.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1987,1986,IW_FGB,1987-03-31,PT,141.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1987,1986,IW,1987-03-31,PT,8.8
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1987,1986,IW_FG,1987-03-31,PT,10.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1987,1986,IW,1987-03-31,PT,137.0
