DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2001,2000,IW_FGRP,2001-01-31,PT,1.126126126126
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2001,2000,IW_GI,2001-01-31,PT,3.248259860789
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2001,2000,UNME_GI,2001-01-31,PT,5.915492957746
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2001,2000,AL_AIGI,2001-01-31,PT,-1.954397394137
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2001,2000,IW_FGRP,2001-02-28,PT,0.678733031674
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2001,2000,IW_GI,2001-02-28,PT,3.023255813953
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2001,2000,UNME_GI,2001-02-28,PT,5.915492957746
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2001,2000,AL_AIGI,2001-02-28,PT,-2.287581699346
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2001,2000,IW_FGRP,2001-03-31,PT,0.0
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2001,2000,IW_GI,2001-03-31,PT,2.534562211982
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2001,2000,UNME_GI,2001-03-31,PT,5.602240896359
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2001,2000,AL_AIGI,2001-03-31,PT,-1.960784313725
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2001-04-30,PT,0.0
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_GI,2001-04-30,PT,2.283105022831
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2002,2001,UNME_GI,2001-04-30,PT,4.696132596685
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2002,2001,AL_AIGI,2001-04-30,PT,-1.954397394137
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2001-05-31,PT,0.663716814159
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_GI,2001-05-31,PT,2.5
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2002,2001,UNME_GI,2001-05-31,PT,4.945054945055
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2002,2001,AL_AIGI,2001-05-31,PT,-2.258064516129
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2001-06-30,PT,2.202643171806
