DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2001,2000,2001-01-31,IX,449.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2001,2000,2001-01-31,IX,445.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2001,2000,2001-01-31,IX,307.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2001,2000,2001-01-31,IX,470.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2001,2000,2001-01-31,IX,450.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2001,2000,2001-01-31,IX,595.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2001,2000,2001-01-31,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2001,2000,2001-02-28,IX,445.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2001,2000,2001-02-28,IX,443.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2001,2000,2001-02-28,IX,307.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2001,2000,2001-02-28,IX,472.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2001,2000,2001-02-28,IX,451.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2001,2000,2001-02-28,IX,599.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2001,2000,2001-02-28,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2001,2000,2001-03-31,IX,446.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2001,2000,2001-03-31,IX,445.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2001,2000,2001-03-31,IX,314.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2001,2000,2001-03-31,IX,475.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2001,2000,2001-03-31,IX,452.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2001,2000,2001-03-31,IX,609.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2001,2000,2001-03-31,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-04-30,IX,450.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-04-30,IX,448.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-04-30,IX,322.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-04-30,IX,471.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-04-30,IX,453.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-04-30,IX,613.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-04-30,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-05-31,IX,455.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-05-31,IX,451.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-05-31,IX,322.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-05-31,IX,469.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-05-31,IX,454.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-05-31,IX,616.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-05-31,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-06-30,IX,464.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-06-30,IX,457.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-06-30,IX,323.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-06-30,IX,470.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-06-30,IX,456.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-06-30,IX,620.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-06-30,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-07-31,IX,468.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-07-31,IX,463.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-07-31,IX,323.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-07-31,IX,473.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-07-31,IX,457.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-07-31,IX,619.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-07-31,IX,517.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-08-31,IX,473.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-08-31,IX,466.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-08-31,IX,323.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-08-31,IX,474.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-08-31,IX,459.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-08-31,IX,620.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-08-31,IX,517.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-09-30,IX,469.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-09-30,IX,465.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-09-30,IX,325.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-09-30,IX,476.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-09-30,IX,460.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-09-30,IX,619.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-09-30,IX,517.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-10-31,IX,474.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-10-31,IX,468.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-10-31,IX,325.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-10-31,IX,480.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-10-31,IX,464.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-10-31,IX,618.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-10-31,IX,517.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-11-30,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-11-30,IX,472.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-11-30,IX,326.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-11-30,IX,482.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-11-30,IX,466.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-11-30,IX,618.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-11-30,IX,517.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2001-12-31,IX,473.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2001-12-31,IX,469.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2001-12-31,IX,327.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2001-12-31,IX,483.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2001-12-31,IX,471.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2001-12-31,IX,620.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2001-12-31,IX,517.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2002-01-31,IX,464.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2002-01-31,IX,467.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2002-01-31,IX,328.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2002-01-31,IX,495.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2002-01-31,IX,472.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2002-01-31,IX,622.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2002-01-31,IX,541.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2002-02-28,IX,460.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2002-02-28,IX,466.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2002-02-28,IX,328.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2002-02-28,IX,505.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2002-02-28,IX,473.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2002-02-28,IX,624.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2002-02-28,IX,541.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2002,2001,2002-03-31,IX,462.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2002,2001,2002-03-31,IX,468.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2002,2001,2002-03-31,IX,330.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2002,2001,2002-03-31,IX,521.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2002,2001,2002-03-31,IX,474.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2002,2001,2002-03-31,IX,628.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2002,2001,2002-03-31,IX,541.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-04-30,IX,463.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-04-30,IX,469.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-04-30,IX,330.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-04-30,IX,522.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-04-30,IX,477.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-04-30,IX,626.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-04-30,IX,541.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-05-31,IX,467.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-05-31,IX,472.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-05-31,IX,331.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-05-31,IX,522.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-05-31,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-05-31,IX,628.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-05-31,IX,541.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-06-30,IX,473.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-06-30,IX,476.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-06-30,IX,332.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-06-30,IX,524.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-06-30,IX,483.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-06-30,IX,630.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-06-30,IX,541.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-07-31,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-07-31,IX,481.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-07-31,IX,332.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-07-31,IX,524.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-07-31,IX,485.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-07-31,IX,630.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-07-31,IX,556.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-08-31,IX,482.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-08-31,IX,484.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-08-31,IX,332.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-08-31,IX,527.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-08-31,IX,486.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-08-31,IX,630.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-08-31,IX,556.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-09-30,IX,484.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-09-30,IX,485.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-09-30,IX,333.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-09-30,IX,529.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-09-30,IX,488.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-09-30,IX,630.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-09-30,IX,556.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-10-31,IX,486.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-10-31,IX,487.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-10-31,IX,331.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-10-31,IX,535.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-10-31,IX,491.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-10-31,IX,633.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-10-31,IX,556.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-11-30,IX,487.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-11-30,IX,489.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-11-30,IX,331.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-11-30,IX,539.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-11-30,IX,493.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-11-30,IX,633.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-11-30,IX,556.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2002-12-31,IX,479.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2002-12-31,IX,484.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2002-12-31,IX,331.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2002-12-31,IX,542.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2002-12-31,IX,496.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2002-12-31,IX,634.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2002-12-31,IX,556.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2003-01-31,IX,474.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2003-01-31,IX,483.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2003-01-31,IX,333.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2003-01-31,IX,544.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2003-01-31,IX,497.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2003-01-31,IX,636.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2003-01-31,IX,570.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2003-02-28,IX,475.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG,M,2003,2002,2003-02-28,IX,484.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_CBF,M,2003,2002,2003-02-28,IX,335.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_FL,M,2003,2002,2003-02-28,IX,545.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_MS,M,2003,2002,2003-02-28,IX,498.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_GIAG_PSTI,M,2003,2002,2003-02-28,IX,640.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_HOUS,M,2003,2002,2003-02-28,IX,570.0
RBI:CPI_IW_RN(1.0),N_A,BY_1982,CO_FDGP,M,2003,2002,2003-03-31,IX,479.0
