DATAFLOW,AUDST,BASE_PER,CENTER_RN,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,AGRA,M,2016,2015,UP,2016-01-31,IX,281.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,AHMEDABAD,M,2016,2015,GUJ,2016-01-31,IX,252.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,AJMER,M,2016,2015,RAJA,2016-01-31,IX,250.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,ALWAYE_ERNAKULAM,M,2016,2015,KER,2016-01-31,IX,267.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,AL_INDIA,M,2016,2015,N_A,2016-01-31,IX,269.26
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,AMRITSAR,M,2016,2015,PUN,2016-01-31,IX,265.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,ANGUL-TALCHER,M,2016,2015,ORI,2016-01-31,IX,274.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,ASANSOL,M,2016,2015,WB,2016-01-31,IX,299.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BANGALORE,M,2016,2015,KAR,2016-01-31,IX,276.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BELGAUM,M,2016,2015,KAR,2016-01-31,IX,277.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BHAVNAGAR,M,2016,2015,GUJ,2016-01-31,IX,246.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BHILAI,M,2016,2015,CHHT,2016-01-31,IX,293.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BHILWARA,M,2016,2015,RAJA,2016-01-31,IX,263.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BHOPAL,M,2016,2015,MP,2016-01-31,IX,267.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,BOKARO,M,2016,2015,JHK,2016-01-31,IX,266.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,CHANDIGARH,M,2016,2015,CHD,2016-01-31,IX,261.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,CHENNAI,M,2016,2015,TN,2016-01-31,IX,261.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,CHHINDWARA,M,2016,2015,MP,2016-01-31,IX,273.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,COIMBATORE,M,2016,2015,TN,2016-01-31,IX,249.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,COONOR,M,2016,2015,TN,2016-01-31,IX,273.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,DARJEELING,M,2016,2015,WB,2016-01-31,IX,245.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,DELHI,M,2016,2015,DEL,2016-01-31,IX,239.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,DM_TINSUKIA,M,2016,2015,ASM,2016-01-31,IX,241.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,DURGAPUR,M,2016,2015,WB,2016-01-31,IX,292.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,FARIDABAD,M,2016,2015,HAR,2016-01-31,IX,246.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,GHAZIABAD,M,2016,2015,UP,2016-01-31,IX,268.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,GIRIDIH,M,2016,2015,JHK,2016-01-31,IX,289.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,GODAVARIKHANI,M,2016,2015,ANP,2016-01-31,IX,282.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,GUNTUR,M,2016,2015,ANP,2016-01-31,IX,265.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,GUWAHATI,M,2016,2015,ASM,2016-01-31,IX,240.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,HALDI,M,2016,2015,WB,2016-01-31,IX,294.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,HOWRAH,M,2016,2015,WB,2016-01-31,IX,247.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,HUBLI-DHARWAR,M,2016,2015,KAR,2016-01-31,IX,292.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,HYDERABAD,M,2016,2015,ANP,2016-01-31,IX,237.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,INDORE,M,2016,2015,MP,2016-01-31,IX,244.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,JABALPUR,M,2016,2015,MP,2016-01-31,IX,269.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,JAIPUR,M,2016,2015,RAJA,2016-01-31,IX,249.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,JALANDHAR,M,2016,2015,PUN,2016-01-31,IX,261.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,JALPAIGURI,M,2016,2015,WB,2016-01-31,IX,259.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,JAMSHEDPUR,M,2016,2015,JHK,2016-01-31,IX,304.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,JHARIA,M,2016,2015,JHK,2016-01-31,IX,299.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,KANPUR,M,2016,2015,UP,2016-01-31,IX,281.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,KODARMA,M,2016,2015,JHK,2016-01-31,IX,306.0
RBI:CPI_IW_AISC_RN(1.0),N_A,BY_2001,KOLKATA,M,2016,2015,WB,2016-01-31,IX,255.0
