DATAFLOW,AUDST,BASE_PER,COMD_ITEM,COVERAGE_GEO_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,ALL_INDIA,M,2016,2015,2016-01-31,IX,131.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,RUR,M,2016,2015,2016-01-31,IX,131.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,URB,M,2016,2015,2016-01-31,IX,131.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG,ALL_INDIA,M,2016,2015,2016-01-31,IX,126.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG,RUR,M,2016,2015,2016-01-31,IX,128.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG,URB,M,2016,2015,2016-01-31,IX,124.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF,ALL_INDIA,M,2016,2015,2016-01-31,IX,129.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF,RUR,M,2016,2015,2016-01-31,IX,132.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF,URB,M,2016,2015,2016-01-31,IX,124.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_C,ALL_INDIA,M,2016,2015,2016-01-31,IX,130.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_C,RUR,M,2016,2015,2016-01-31,IX,133.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_C,URB,M,2016,2015,2016-01-31,IX,125.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_F,ALL_INDIA,M,2016,2015,2016-01-31,IX,125.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_F,RUR,M,2016,2015,2016-01-31,IX,128.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_CF_F,URB,M,2016,2015,2016-01-31,IX,119.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB,ALL_INDIA,M,2016,2015,2016-01-31,IX,131.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB,RUR,M,2016,2015,2016-01-31,IX,131.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB,URB,M,2016,2015,2016-01-31,IX,131.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_CP,ALL_INDIA,M,2016,2015,2016-01-31,IX,126.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_CP,RUR,M,2016,2015,2016-01-31,IX,126.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_CP,URB,M,2016,2015,2016-01-31,IX,124.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_EG,ALL_INDIA,M,2016,2015,2016-01-31,IX,128.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_EG,RUR,M,2016,2015,2016-01-31,IX,126.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_EG,URB,M,2016,2015,2016-01-31,IX,132.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_FR,ALL_INDIA,M,2016,2015,2016-01-31,IX,125.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_FR,RUR,M,2016,2015,2016-01-31,IX,131.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_FR,URB,M,2016,2015,2016-01-31,IX,119.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MF,ALL_INDIA,M,2016,2015,2016-01-31,IX,134.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MF,RUR,M,2016,2015,2016-01-31,IX,133.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MF,URB,M,2016,2015,2016-01-31,IX,135.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MP,ALL_INDIA,M,2016,2015,2016-01-31,IX,129.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MP,RUR,M,2016,2015,2016-01-31,IX,130.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_MP,URB,M,2016,2015,2016-01-31,IX,129.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_NB,ALL_INDIA,M,2016,2015,2016-01-31,IX,122.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_NB,RUR,M,2016,2015,2016-01-31,IX,124.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_NB,URB,M,2016,2015,2016-01-31,IX,120.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_OF,ALL_INDIA,M,2016,2015,2016-01-31,IX,115.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_OF,RUR,M,2016,2015,2016-01-31,IX,118.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_OF,URB,M,2016,2015,2016-01-31,IX,109.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PMSS,ALL_INDIA,M,2016,2015,2016-01-31,IX,135.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PMSS,RUR,M,2016,2015,2016-01-31,IX,135.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PMSS,URB,M,2016,2015,2016-01-31,IX,134.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PP,ALL_INDIA,M,2016,2015,2016-01-31,IX,170.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PP,RUR,M,2016,2015,2016-01-31,IX,163.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PP,URB,M,2016,2015,2016-01-31,IX,184.2
