DATAFLOW,AUDST,BASE_PER,CENTER_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2009,2008,2009-03-31,IX,100.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2010,2009,2009-06-30,IX,101.4
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2010,2009,2009-06-30,IX,103.6
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2010,2009,2009-06-30,IX,96.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2010,2009,2009-06-30,IX,101.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2010,2009,2009-06-30,IX,99.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2010,2009,2009-06-30,IX,113.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2010,2009,2009-06-30,IX,100.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2010,2009,2009-06-30,IX,103.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2010,2009,2009-06-30,IX,116.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2010,2009,2009-09-30,IX,104.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2010,2009,2009-09-30,IX,101.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2010,2009,2009-09-30,IX,83.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2010,2009,2009-09-30,IX,100.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2010,2009,2009-09-30,IX,112.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2010,2009,2009-09-30,IX,114.8
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2010,2009,2009-09-30,IX,107.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2010,2009,2009-09-30,IX,118.6
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2010,2009,2009-09-30,IX,131.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2010,2009,2009-12-31,IX,117.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2010,2009,2009-12-31,IX,100.8
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2010,2009,2009-12-31,IX,106.8
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2010,2009,2009-12-31,IX,99.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2010,2009,2009-12-31,IX,119.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2010,2009,2009-12-31,IX,114.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2010,2009,2009-12-31,IX,110.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2010,2009,2009-12-31,IX,116.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2010,2009,2009-12-31,IX,135.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2010,2009,2010-03-31,IX,124.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2010,2009,2010-03-31,IX,98.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2010,2009,2010-03-31,IX,118.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2010,2009,2010-03-31,IX,109.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2010,2009,2010-03-31,IX,142.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2010,2009,2010-03-31,IX,120.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2010,2009,2010-03-31,IX,107.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2010,2009,2010-03-31,IX,112.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2010,2009,2010-03-31,IX,136.4
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2011,2010,2010-06-30,IX,117.1
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2011,2010,2010-06-30,IX,104.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2011,2010,2010-06-30,IX,138.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2011,2010,2010-06-30,IX,122.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2011,2010,2010-06-30,IX,144.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2011,2010,2010-06-30,IX,119.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2011,2010,2010-06-30,IX,116.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2011,2010,2010-06-30,IX,116.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2011,2010,2010-06-30,IX,143.0
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2011,2010,2010-06-30,IX,93.21867915399
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2011,2010,2010-06-30,IX,94.239884165952
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2011,2010,2010-06-30,IX,98.63969688202
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2011,2010,2010-06-30,IX,102.731254249705
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2011,2010,2010-06-30,IX,100.721966276523
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2011,2010,2010-06-30,IX,95.312153938016
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2011,2010,2010-06-30,IX,91.735054350571
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2011,2010,2010-06-30,IX,89.611742854129
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2011,2010,2010-06-30,IX,77.879137780952
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2011,2010,2010-06-30,IX,88.820870487804
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2011,2010,2010-06-30,IX,90.626706474878
