DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_FPLL,W,2006,2005,2006-01-07,IX,311.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_FPLL_CM,W,2006,2005,2006-01-07,IX,231.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_FPLL_EL,W,2006,2005,2006-01-07,IX,261.8
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_FPLL_MO,W,2006,2005,2006-01-07,IX,369.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP,W,2006,2005,2006-01-07,IX,171.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP,W,2006,2005,2006-01-07,IX,210.2
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_BMA,W,2006,2005,2006-01-07,IX,219.8
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_BMA_FA,W,2006,2005,2006-01-07,IX,184.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_BMA_FCFS,W,2006,2005,2006-01-07,IX,235.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_BMA_IS,W,2006,2005,2006-01-07,IX,233.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_BMA_PWDO,W,2006,2005,2006-01-07,IX,181.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_MP,W,2006,2005,2006-01-07,IX,147.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_NFM,W,2006,2005,2006-01-07,IX,198.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_NFM_AL,W,2006,2005,2006-01-07,IX,208.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BMAMP_NFM_ONFM,W,2006,2005,2006-01-07,IX,183.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BTP,W,2006,2005,2006-01-07,IX,232.5
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BTP_MBCTZ,W,2006,2005,2006-01-07,IX,228.7
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BTP_ML,W,2006,2005,2006-01-07,IX,196.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BTP_SCW,W,2006,2005,2006-01-07,IX,163.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_BTP_WI,W,2006,2005,2006-01-07,IX,265.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP,W,2006,2005,2006-01-07,IX,189.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_BHIC,W,2006,2005,2006-01-07,IX,175.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_BHOC,W,2006,2005,2006-01-07,IX,154.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_DM,W,2006,2005,2006-01-07,IX,282.8
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_DSI,W,2006,2005,2006-01-07,IX,111.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_FP,W,2006,2005,2006-01-07,IX,172.2
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_FP_FR,W,2006,2005,2006-01-07,IX,175.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_FP_PS,W,2006,2005,2006-01-07,IX,150.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_MEOC,W,2006,2005,2006-01-07,IX,131.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_PCT,W,2006,2005,2006-01-07,IX,202.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_PVL,W,2006,2005,2006-01-07,IX,126.7
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_CCP_TSRPM,W,2006,2005,2006-01-07,IX,126.8
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP,W,2006,2005,2006-01-07,IX,178.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_BP,W,2006,2005,2006-01-07,IX,175.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_CCSC,W,2006,2005,2006-01-07,IX,177.2
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_CPPF,W,2006,2005,2006-01-07,IX,272.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_DP,W,2006,2005,2006-01-07,IX,206.2
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_EO,W,2006,2005,2006-01-07,IX,143.8
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_GMP,W,2006,2005,2006-01-07,IX,203.7
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_MCS,W,2006,2005,2006-01-07,IX,223.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_OC,W,2006,2005,2006-01-07,IX,182.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_OFP,W,2006,2005,2006-01-07,IX,189.2
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_SKG,W,2006,2005,2006-01-07,IX,178.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_FP_TCP,W,2006,2005,2006-01-07,IX,216.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_LP,W,2006,2005,2006-01-07,IX,168.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT,W,2006,2005,2006-01-07,IX,147.3
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_EM,W,2006,2005,2006-01-07,IX,119.7
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_EM_DWB,W,2006,2005,2006-01-07,IX,129.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_EM_EAA,W,2006,2005,2006-01-07,IX,77.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_EM_EIM,W,2006,2005,2006-01-07,IX,142.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_EM_WC,W,2006,2005,2006-01-07,IX,150.5
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_NEMP,W,2006,2005,2006-01-07,IX,187.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_NEMP_HMP,W,2006,2005,2006-01-07,IX,197.1
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_NEMP_IMT,W,2006,2005,2006-01-07,IX,253.0
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_MMT_NEMP_ROMEM,W,2006,2005,2006-01-07,IX,133.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_NMMP,W,2006,2005,2006-01-07,IX,169.7
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_NMMP_CLP_CM,W,2006,2005,2006-01-07,IX,166.3
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_NMMP_CSGP,W,2006,2005,2006-01-07,IX,180.9
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_NMMP_GECP,W,2006,2005,2006-01-07,IX,156.6
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_NMMP_SCP,W,2006,2005,2006-01-07,IX,193.2
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_PP,W,2006,2005,2006-01-07,IX,178.3
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_PP_MB,W,2006,2005,2006-01-07,IX,132.4
RBI:INX_WPI_RN(1.0),N_A,BY_1993_94,C_AC_MP_PP_PP,W,2006,2005,2006-01-07,IX,157.6
