DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1986,1985,0,1986-03-31,RUP_PER_10_GMS,2125.47
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1986,1985,0,1986-03-31,RUP_PER_KG,3918.38
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1986,1985,0,1986-03-31,DOL_PER_TROY_OZ,327.75
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1986,1985,0,1986-03-31,RUP_PER_10_GMS,1289.76
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1986,1985,0,1986-03-31,CTNS_PER_TROY_OZ,609.0
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1986,1985,0,1986-03-31,RUP_PER_KG,2396.35
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1987,1986,0,1987-03-31,RUP_PER_10_GMS,2323.49
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1987,1986,0,1987-03-31,RUP_PER_KG,4247.1
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1987,1986,0,1987-03-31,DOL_PER_TROY_OZ,383.33
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1987,1986,0,1987-03-31,RUP_PER_10_GMS,1577.02
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1987,1986,0,1987-03-31,CTNS_PER_TROY_OZ,539.87
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1987,1986,0,1987-03-31,RUP_PER_KG,2220.03
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1988,1987,0,1988-03-31,RUP_PER_10_GMS,3082.43
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1988,1987,0,1988-03-31,RUP_PER_KG,5538.83
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1988,1987,0,1988-03-31,DOL_PER_TROY_OZ,458.84
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1988,1987,0,1988-03-31,RUP_PER_10_GMS,1912.54
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1988,1987,0,1988-03-31,CTNS_PER_TROY_OZ,721.49
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1988,1987,0,1988-03-31,RUP_PER_KG,3016.7
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1989,1988,0,1989-03-31,RUP_PER_10_GMS,3175.22
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1989,1988,0,1989-03-31,RUP_PER_KG,6366.76
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1989,1988,0,1989-03-31,DOL_PER_TROY_OZ,422.01
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1989,1988,0,1989-03-31,RUP_PER_10_GMS,1960.38
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1989,1988,0,1989-03-31,CTNS_PER_TROY_OZ,639.65
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1989,1988,0,1989-03-31,RUP_PER_KG,2971.52
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1990,1989,0,1990-03-31,RUP_PER_10_GMS,3229.33
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1990,1989,0,1990-03-31,RUP_PER_KG,6841.91
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1990,1989,0,1990-03-31,DOL_PER_TROY_OZ,384.79
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1990,1989,0,1990-03-31,RUP_PER_10_GMS,2063.01
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1990,1989,0,1990-03-31,CTNS_PER_TROY_OZ,531.61
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1990,1989,0,1990-03-31,RUP_PER_KG,2846.31
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1991,1990,0,1991-03-31,RUP_PER_10_GMS,3451.524167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1991,1990,0,1991-03-31,RUP_PER_KG,6760.7875
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1991,1990,0,1991-03-31,DOL_PER_TROY_OZ,374.6475
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1991,1990,0,1991-03-31,RUP_PER_10_GMS,2164.264167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1991,1990,0,1991-03-31,CTNS_PER_TROY_OZ,449.861667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1991,1990,0,1991-03-31,RUP_PER_KG,2579.205
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1992,1991,0,1992-03-31,RUP_PER_10_GMS,4297.628333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1992,1991,0,1992-03-31,RUP_PER_KG,7332.413333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1992,1991,0,1992-03-31,DOL_PER_TROY_OZ,357.3975
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1992,1991,0,1992-03-31,RUP_PER_10_GMS,2841.074167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1992,1991,0,1992-03-31,CTNS_PER_TROY_OZ,409.335
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1992,1991,0,1992-03-31,RUP_PER_KG,3269.890833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1993,1992,0,1993-03-31,RUP_PER_10_GMS,4103.660833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1993,1992,0,1993-03-31,RUP_PER_KG,7078.390833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1993,1992,0,1993-03-31,DOL_PER_TROY_OZ,338.354167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1993,1992,0,1993-03-31,RUP_PER_10_GMS,3332.949167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1993,1992,0,1993-03-31,CTNS_PER_TROY_OZ,381.97
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1993,1992,0,1993-03-31,RUP_PER_KG,3749.869167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1994,1993,0,1994-03-31,RUP_PER_10_GMS,4531.865833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1994,1993,0,1994-03-31,RUP_PER_KG,6348.121667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1994,1993,0,1994-03-31,DOL_PER_TROY_OZ,373.423333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1994,1993,0,1994-03-31,RUP_PER_10_GMS,3766.2825
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1994,1993,0,1994-03-31,CTNS_PER_TROY_OZ,470.535
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1994,1993,0,1994-03-31,RUP_PER_KG,4741.0925
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1995,1994,0,1995-03-31,RUP_PER_10_GMS,4667.24
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1995,1994,0,1995-03-31,RUP_PER_KG,6692.3075
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1995,1994,0,1995-03-31,DOL_PER_TROY_OZ,382.788333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1995,1994,0,1995-03-31,RUP_PER_10_GMS,3864.151667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1995,1994,0,1995-03-31,CTNS_PER_TROY_OZ,513.851667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1995,1994,0,1995-03-31,RUP_PER_KG,5187.330833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1996,1995,0,1996-03-31,RUP_PER_10_GMS,4957.604167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1996,1995,0,1996-03-31,RUP_PER_KG,7220.5025
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1996,1995,0,1996-03-31,DOL_PER_TROY_OZ,389.364167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1996,1995,0,1996-03-31,RUP_PER_10_GMS,4188.575833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1996,1995,0,1996-03-31,CTNS_PER_TROY_OZ,540.0475
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1996,1995,0,1996-03-31,RUP_PER_KG,5809.36
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1997,1996,0,1997-03-31,RUP_PER_10_GMS,5070.711667
