DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2016,2015,0,2016-01-01,RUP_PER_10_GMS,25997.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2016,2015,0,2016-01-01,RUP_PER_KG,34287.25
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2016,2015,0,2016-01-01,DOL_PER_TROY_OZ,1096.52
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2016,2015,0,2016-01-01,RUP_PER_10_GMS,23757.57
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2016,2015,0,2016-01-01,CTNS_PER_TROY_OZ,1410.6
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2016,2015,0,2016-01-01,RUP_PER_KG,30500.171189
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2016,2015,0,2016-02-01,RUP_PER_10_GMS,28251.67
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2016,2015,0,2016-02-01,RUP_PER_KG,36916.9
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2016,2015,0,2016-02-01,DOL_PER_TROY_OZ,1197.4
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2016,2015,0,2016-02-01,RUP_PER_10_GMS,26329.26
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2016,2015,0,2016-02-01,CTNS_PER_TROY_OZ,1516.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2016,2015,0,2016-02-01,RUP_PER_KG,33274.758051
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2016,2015,0,2016-03-01,RUP_PER_10_GMS,28794.25
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2016,2015,0,2016-03-01,RUP_PER_KG,37499.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2016,2015,0,2016-03-01,DOL_PER_TROY_OZ,1246.33
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2016,2015,0,2016-03-01,RUP_PER_10_GMS,26854.18
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2016,2015,0,2016-03-01,CTNS_PER_TROY_OZ,1546.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2016,2015,0,2016-03-01,RUP_PER_KG,33324.020878
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-04-01,RUP_PER_10_GMS,28818.16
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-04-01,RUP_PER_KG,38656.05
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-04-01,DOL_PER_TROY_OZ,1241.86
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-04-01,RUP_PER_10_GMS,26529.54
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-04-01,CTNS_PER_TROY_OZ,1636.0
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-04-01,RUP_PER_KG,34962.057079
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-05-01,RUP_PER_10_GMS,29639.09
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-05-01,RUP_PER_KG,40692.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-05-01,DOL_PER_TROY_OZ,1259.57
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-05-01,RUP_PER_10_GMS,27083.84
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-05-01,CTNS_PER_TROY_OZ,1694.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-05-01,RUP_PER_KG,36454.71506
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-06-01,RUP_PER_10_GMS,29745.45
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-06-01,RUP_PER_KG,41195.91
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-06-01,DOL_PER_TROY_OZ,1274.99
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-06-01,RUP_PER_10_GMS,27616.71
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-06-01,CTNS_PER_TROY_OZ,1728.6
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-06-01,RUP_PER_KG,37400.75723
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-07-01,RUP_PER_10_GMS,30941.75
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-07-01,RUP_PER_KG,46942.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-07-01,DOL_PER_TROY_OZ,1337.38
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-07-01,RUP_PER_10_GMS,28863.65
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-07-01,CTNS_PER_TROY_OZ,1999.2
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-07-01,RUP_PER_KG,43198.2201745
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-08-01,RUP_PER_10_GMS,31270.0
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-08-01,RUP_PER_KG,46614.09
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-08-01,DOL_PER_TROY_OZ,1340.98
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-08-01,RUP_PER_10_GMS,28855.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-08-01,CTNS_PER_TROY_OZ,1958.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-08-01,RUP_PER_KG,42154.347987
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-09-01,RUP_PER_10_GMS,31178.0
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-09-01,RUP_PER_KG,46233.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-09-01,DOL_PER_TROY_OZ,1326.32
