DATAFLOW,AUDST,FREQ,GENDER_RN,REPYEAREND,REPYEARSTART,STATE_CODE,TYP_AAA_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR02,0,2013-01-31,INR,113.86
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR05,0,2013-01-31,INR,206.64
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR06,0,2013-01-31,INR,175.77
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR07,0,2013-01-31,INR,265.95
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR08,0,2013-01-31,INR,145.9
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR16,0,2013-01-31,INR,175.42
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR17,0,2013-01-31,INR,160.62
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR18,0,2013-01-31,INR,174.35
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR21,0,2013-01-31,INR,213.58
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR23,0,2013-01-31,INR,295.85
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR26,0,2013-01-31,INR,159.09
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR30,0,2013-01-31,INR,206.79
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR32,0,2013-01-31,INR,178.1
RBI:WAGE_RATES_RN(1.0),N_A,M,MALE,2013,2012,ALL_INDIA,WR34,0,2013-01-31,INR,168.4
